"Flag";"Blocked";"Inventory Number";"Auction Title";"SKU Type";"Total Quantity";"Quantity Update Type";"Quantity";"DC Quantity Update Type";"DC Quantity";"Quantity Pending Payment";"Quantity Pending Shipment";"Buy It Now Price";"Labels";"Picture URLs";"Classification"
"NoFlag";"False";"P2D2076";"Pax | PAX 2 - Premium Portable Vaporizer - Dry Herb Vape Pen - New Colour - Silver";"Basic Item";96;;;;"Amazon FBA UK A13J3GOUTW0JOK=54,Amazon FBA A13J3GOUTW0JOK=41,Perpignan=0";1;0;"129.0000";"Amazon Marketplace - UK";"ITEMIMAGEURL1=https://kpsfrance.com/mkp/img/P2D2076-SIL_1001.jpg,ITEMIMAGEURL2=https://kpsfrance.com/mkp/img/P2D2076-SIL_1002.jpg,ITEMIMAGEURL3=https://kpsfrance.com/mkp/img/P2D2076-SIL_1003.jpg,ITEMIMAGEURL4=https://kpsfrance.com/mkp/img/P2D2076-SIL_1004.jpg,ITEMIMAGEURL5=https://kpsfrance.com/mkp/img/P2D2076-SIL_1005.jpg,ITEMIMAGEURL6=https://kpsfrance.com/mkp/img/P2D2076-SIL_1006.jpg,ITEMIMAGEURL7=https://kpsfrance.com/mkp/img/P2D2076-SIL_1006.jpg,ITEMIMAGEURL8=https://kpsfrance.com/mkp/img/P2D2076-SIL_1007.jpg";
"NoFlag";"False";"P2D2077";"Pax | PAX 2 - Premium Portable Vaporizer - Dry Herb Vape Pen - New Colour - Brushed Charcoal";"Basic Item";99;;;;"Amazon FBA UK A13J3GOUTW0JOK=84,Amazon FBA A13J3GOUTW0JOK=14,Perpignan=0";1;0;"109.0000";"Amazon Marketplace - UK";"ITEMIMAGEURL1=https://kpsfrance.com/mkp/img/P2D2077-BLK_1001.jpg,ITEMIMAGEURL2=https://kpsfrance.com/mkp/img/P2D2077-BLK_1002.jpg,ITEMIMAGEURL3=https://kpsfrance.com/mkp/img/P2D2077-BLK_1003.jpg,ITEMIMAGEURL4=https://kpsfrance.com/mkp/img/P2D2077-BLK_1004.jpg,ITEMIMAGEURL5=https://kpsfrance.com/mkp/img/P2D2077-BLK_1005.jpg,ITEMIMAGEURL6=https://kpsfrance.com/mkp/img/P2D2077-BLK_1006.jpg,ITEMIMAGEURL7=https://kpsfrance.com/mkp/img/P2D2077-BLK_1006.jpg,ITEMIMAGEURL8=https://kpsfrance.com/mkp/img/P2D2077-BLK_1007.jpg";
"NoFlag";"False";"P3D2042";"Pax | PAX 3 - Premium Portable Vaporizer - Dry Herb Oil Wax - 10Year Warranty - Complete Kit - Black";"Basic Item";0;;;;"Amazon FBA UK A13J3GOUTW0JOK=0,Amazon FBA A13J3GOUTW0JOK=0,Perpignan=0";0;0;"211.7000";"Amazon Marketplace - UK";"ITEMIMAGEURL1=https://kpsfrance.com/mkp/img/P3D2042-BLK_1001.jpg,ITEMIMAGEURL2=https://kpsfrance.com/mkp/img/P3D2042-BLK_1002.jpg,ITEMIMAGEURL3=https://kpsfrance.com/mkp/img/P3D2042-BLK_1003.jpg,ITEMIMAGEURL4=https://kpsfrance.com/mkp/img/P3D2042-BLK_1004.jpg,ITEMIMAGEURL5=https://kpsfrance.com/mkp/img/P3D2042-BLK_1005.jpg,ITEMIMAGEURL6=https://kpsfrance.com/mkp/img/P3D2042-BLK_1006.jpg,ITEMIMAGEURL7=https://kpsfrance.com/mkp/img/P3D2042-BLK_1007.jpg,ITEMIMAGEURL8=https://kpsfrance.com/mkp/img/P3D2042-BLK_1007.jpg";
"NoFlag";"False";"P3D2043";"Pax | PAX 3 - Premium Portable Vaporizer - Dry Herb Oil Wax - 10 Year Warranty - Complete Kit - Teal";"Basic Item";0;;;;"Amazon FBA UK A13J3GOUTW0JOK=0,Amazon FBA A13J3GOUTW0JOK=0,Perpignan=0";0;0;"219.0000";"Amazon Marketplace - UK";"ITEMIMAGEURL1=https://kpsfrance.com/mkp/img/P3D2043-BLU_1001.jpg,ITEMIMAGEURL2=https://kpsfrance.com/mkp/img/P3D2043-BLU_1002.jpg,ITEMIMAGEURL3=https://kpsfrance.com/mkp/img/P3D2043-BLU_1003.jpg,ITEMIMAGEURL4=https://kpsfrance.com/mkp/img/P3D2043-BLU_1004.jpg,ITEMIMAGEURL5=https://kpsfrance.com/mkp/img/P3D2043-BLU_1005.jpg,ITEMIMAGEURL6=https://kpsfrance.com/mkp/img/P3D2043-BLU_1006.jpg,ITEMIMAGEURL7=https://kpsfrance.com/mkp/img/P3D2043-BLU_1007.jpg,ITEMIMAGEURL8=https://kpsfrance.com/mkp/img/P3D2043-BLU_1007.jpg";
"NoFlag";"False";"P3D2044";"Pax | PAX 3 - Premium Portable Vaporizer - Dry Herb Oil Wax - 10Year Warranty - Complete Kit - Silver";"Basic Item";0;;;;"Amazon FBA UK A13J3GOUTW0JOK=0,Amazon FBA A13J3GOUTW0JOK=0,Perpignan=0";0;0;"219.0000";"Amazon Marketplace - UK";"ITEMIMAGEURL1=https://kpsfrance.com/mkp/img/P3D2044-SIL_1001.jpg,ITEMIMAGEURL2=https://kpsfrance.com/mkp/img/P3D2044-SIL_1002.jpg,ITEMIMAGEURL3=https://kpsfrance.com/mkp/img/P3D2044-SIL_1003.jpg,ITEMIMAGEURL4=https://kpsfrance.com/mkp/img/P3D2044-SIL_1004.jpg,ITEMIMAGEURL5=https://kpsfrance.com/mkp/img/P3D2044-SIL_1005.jpg,ITEMIMAGEURL6=https://kpsfrance.com/mkp/img/P3D2044-SIL_1006.jpg,ITEMIMAGEURL7=https://kpsfrance.com/mkp/img/P3D2044-SIL_1007.jpg,ITEMIMAGEURL8=https://kpsfrance.com/mkp/img/P3D2044-SIL_1007.jpg";
"NoFlag";"False";"P3D2045";"Pax | PAX 3 - Premium Portable Vaporizer - Dry Herb Oil Wax - 10 Year Warranty - Complete Kit - Rose";"Basic Item";40;;;;"Amazon FBA UK A13J3GOUTW0JOK=9,Amazon FBA A13J3GOUTW0JOK=31,Perpignan=0";0;0;"219.0000";"Amazon Marketplace - UK";"ITEMIMAGEURL1=https://kpsfrance.com/mkp/img/P3D2045-PNK_1001.jpg,ITEMIMAGEURL2=https://kpsfrance.com/mkp/img/P3D2045-PNK_1002.jpg,ITEMIMAGEURL3=https://kpsfrance.com/mkp/img/P3D2045-PNK_1003.jpg,ITEMIMAGEURL4=https://kpsfrance.com/mkp/img/P3D2045-PNK_1004.jpg,ITEMIMAGEURL5=https://kpsfrance.com/mkp/img/P3D2045-PNK_1005.jpg,ITEMIMAGEURL6=https://kpsfrance.com/mkp/img/P3D2045-PNK_1006.jpg,ITEMIMAGEURL7=https://kpsfrance.com/mkp/img/P3D2045-PNK_1007.jpg,ITEMIMAGEURL8=https://kpsfrance.com/mkp/img/P3D2045-PNK_1007.jpg";
"NoFlag";"False";"P3D2050";"Pax | PAX 3 - Premium Portable Vaporizer - Dry Herb Vape Pen - 10 Year Warranty - Basic Kit - Black";"Basic Item";0;;;;"Amazon FBA UK A13J3GOUTW0JOK=0,Amazon FBA A13J3GOUTW0JOK=0,Perpignan=0";0;0;"169.0000";"Amazon Marketplace - UK";"ITEMIMAGEURL1=https://kpsfrance.com/mkp/img/P3D2050-BLK_1001.jpg,ITEMIMAGEURL2=https://kpsfrance.com/mkp/img/P3D2050-BLK_1002.jpg,ITEMIMAGEURL3=https://kpsfrance.com/mkp/img/P3D2050-BLK_1003.jpg,ITEMIMAGEURL4=https://kpsfrance.com/mkp/img/P3D2050-BLK_1004.jpg,ITEMIMAGEURL5=https://kpsfrance.com/mkp/img/P3D2050-BLK_1005.jpg,ITEMIMAGEURL6=https://kpsfrance.com/mkp/img/P3D2050-BLK_1006.jpg,ITEMIMAGEURL7=https://kpsfrance.com/mkp/img/P3D2050-BLK_1007.jpg,ITEMIMAGEURL8=https://kpsfrance.com/mkp/img/P3D2050-BLK_1007.jpg";
"NoFlag";"False";"P3D2051";"Pax | PAX 3 - Premium Portable Vaporizer - Dry Herb Vape Pen - 10 Year Warranty - Basic Kit - Teal";"Basic Item";0;;;;"Amazon FBA UK A13J3GOUTW0JOK=0,Amazon FBA A13J3GOUTW0JOK=0,Perpignan=0";0;0;"169.0000";"Amazon Marketplace - UK";"ITEMIMAGEURL1=https://kpsfrance.com/mkp/img/P3D2051-BLU_1001.jpg,ITEMIMAGEURL2=https://kpsfrance.com/mkp/img/P3D2051-BLU_1002.jpg,ITEMIMAGEURL3=https://kpsfrance.com/mkp/img/P3D2051-BLU_1003.jpg,ITEMIMAGEURL4=https://kpsfrance.com/mkp/img/P3D2051-BLU_1004.jpg,ITEMIMAGEURL5=https://kpsfrance.com/mkp/img/P3D2051-BLU_1005.jpg,ITEMIMAGEURL6=https://kpsfrance.com/mkp/img/P3D2051-BLU_1006.jpg,ITEMIMAGEURL7=https://kpsfrance.com/mkp/img/P3D2051-BLU_1007.jpg";
"NoFlag";"False";"P3D2052";"Pax | PAX 3 - Premium Portable Vaporizer - Dry Herb Vape Pen - 10 Year Warranty - Basic Kit - Silver";"Basic Item";0;;;;"Amazon FBA UK A13J3GOUTW0JOK=0,Amazon FBA A13J3GOUTW0JOK=0,Perpignan=0";0;0;"169.0000";"Amazon Marketplace - UK";"ITEMIMAGEURL1=https://kpsfrance.com/mkp/img/P3D2052-SIL_1001.jpg,ITEMIMAGEURL2=https://kpsfrance.com/mkp/img/P3D2052-SIL_1002.jpg,ITEMIMAGEURL3=https://kpsfrance.com/mkp/img/P3D2052-SIL_1003.jpg,ITEMIMAGEURL4=https://kpsfrance.com/mkp/img/P3D2052-SIL_1004.jpg,ITEMIMAGEURL5=https://kpsfrance.com/mkp/img/P3D2052-SIL_1005.jpg,ITEMIMAGEURL6=https://kpsfrance.com/mkp/img/P3D2052-SIL_1006.jpg,ITEMIMAGEURL7=https://kpsfrance.com/mkp/img/P3D2052-SIL_1007.jpg,ITEMIMAGEURL8=https://kpsfrance.com/mkp/img/P3D2052-SIL_1007.jpg";
"NoFlag";"False";"P3D2053";"Pax | PAX 3 - Premium Portable Vaporizer - Dry Herb Vape Pen - 10 Year Warranty - Basic Kit - Rose";"Basic Item";0;;;;"Amazon FBA UK A13J3GOUTW0JOK=0,Amazon FBA A13J3GOUTW0JOK=0,Perpignan=0";0;0;"169.0000";"Amazon Marketplace - UK";"ITEMIMAGEURL1=https://kpsfrance.com/mkp/img/P3D2053-PNK_1001.jpg,ITEMIMAGEURL2=https://kpsfrance.com/mkp/img/P3D2053-PNK_1002.jpg,ITEMIMAGEURL3=https://kpsfrance.com/mkp/img/P3D2053-PNK_1003.jpg,ITEMIMAGEURL4=https://kpsfrance.com/mkp/img/P3D2053-PNK_1004.jpg,ITEMIMAGEURL5=https://kpsfrance.com/mkp/img/P3D2053-PNK_1005.jpg,ITEMIMAGEURL6=https://kpsfrance.com/mkp/img/P3D2053-PNK_1006.jpg,ITEMIMAGEURL7=https://kpsfrance.com/mkp/img/P3D2053-PNK_1007.jpg,ITEMIMAGEURL8=https://kpsfrance.com/mkp/img/P3D2053-PNK_1007.jpg";
