"license-plate-number";"customer-return-date";"asin";"sku";"Brand";"Product Name";"amazon-order-id";"quantity";"Collection_Order";"delivery-date-biarritz";"device-serial-number";"item-status";"RMA KP";"ID ";"RMA batch";"LaRoca"
"LPNHE569502415";11/09/2021;"B08YWWY5TD";"SNS-ROAM1R21";"SONOS";"SONOS ROAM WHITE";"408-8285439-7477149";1;;;"A1002105W54-2A-1B-BB-31-44-8";"Used";"yes";"PRG211124747659 ";25/11/2021;"x"
"LPNHE553089724";30/09/2021;"B08YWWY5TD";"SNS-ROAM1R21";"SONOS";"SONOS ROAM WHITE";"408-0655230-8272323";1;;;"A1002105W54-2A-1B-BB-2A-20-G";"Used";"yes";"PRG211124747659 ";25/11/2021;"x"
"LPNHE553118202";01/07/2021;"B08BGCTZLY";"SNS-MOVE1EU1";"SONOS";"SONOS MOVE WHITE";"405-8768747-2776334";1;;;"A1012103WC54-2A-1B-76-5A-5E-6";"Used";"yes";"PRG211124747659 ";25/11/2021;"x"
"LPNHE562617204";19/08/2021;"B08HQDCSNQ";"P3D2452";"PAX";"PAX3 BASIC BURGUNDY";"407-2228874-6997937";1;;;"WT3P1TG4";"Used";"yes";"PRG211124747659 ";25/11/2021;"x"
"LPNHE581689760";23/09/2021;"B075WYBXKK";"P3D2051";"PAX";"PAX3 BASIC TEAL";"405-7634558-5873124";1;;;"URVMAWYH";"Used";"yes";"PRG211124747659 ";25/11/2021;"x"
"LPNHE562642885";23/07/2021;"B07WVSF8VW";"SNS-MOVE1EU1BLK";"SONOS";"SONOS MOVE BLACK";"407-9338122-6423554";1;;;"A1012103WCF0-F6-C1-51-84-94-A";"Used";"yes";"PRG211124747659 ";25/11/2021;"x"
"LPNHE562739581";28/07/2021;"B07WRK2696";"SNS-ONESLEU1";"SONOS";"SONOS ONESL WHITE";"402-5502073-9149952";1;;;"A1002104C95C-AA-FD-BC-3D-E2-E";"Used";"yes";"PRG211124747659 ";25/11/2021;"x"
"LPNHE581764678";13/09/2021;"B07P9VM3B7";"SNS-ONEG2EU1";"SONOS";"SONOS ONE WHITE";"171-4407609-8941916";1;;;"A2012105CP54-2A-1B-F1-B5-B0-D";"Used";"yes";"PRG211124747659 ";25/11/2021;"x"
"LPNHE578224737";07/08/2021;"B085G2N2F7";"X-RSD0106CE";"ROBOROCK";"ROBOROCK S6 PURE WHITE";"403-9800769-1636331";1;;;;"Used";"yes";"PRG211124747659 ";25/11/2021;"x"
"LPNHR000488731";07/10/2021;"B085BPCV7W";"X-SKV4110GL";"XIAOMI";"XIAOMI MOPPRO WHITE";"305-8673094-2633942";1;;;"26200/00405595";"Used";"yes";"PRG211124747659 ";25/11/2021;"x"
"LPNHE507860905";28/09/2021;"B085BPCV7W";"X-SKV4110GL";"XIAOMI";"XIAOMI MOPPRO WHITE";"303-6038144-3265927";1;;;"26200/00405931";"Used";"yes";"PRG211124747659 ";25/11/2021;"x"
"LPNHE603403311";23/10/2021;"B08CKT6KM2";"X-SKV4136GL";"XIAOMI";"XIAOMI MOP ESSENTIAL";"405-6730410-9880314";1;;;"27103/00458552";"Used";"yes";"PRG211124747659 ";25/11/2021;"x"
"LPNHR000782162";09/10/2021;"B08CKT6KM2";"X-SKV4136GL";"XIAOMI";"XIAOMI MOP ESSENTIAL";"171-1290427-9741160";1;;;"27103/00207236";"Used";"yes";"PRG211124747659 ";25/11/2021;"x"
"LPNHR001792381";07/10/2021;"B08CKT6KM2";"X-SKV4136GL";"XIAOMI";"XIAOMI MOP ESSENTIAL";"305-2211725-7465960";1;;;"27103/00458550";"Used";"yes";"PRG211124747659 ";25/11/2021;"x"
"LPNIC011103356";16/08/2021;"B085G2N2F7";"X-RSD0106CE";"ROBOROCK";"ROBOROCK S6 PURE WHITE";"407-2529334-1301135";1;;;"R0906K10606837";"Used";"yes";"PRG211124747659 ";25/11/2021;"x"
"LPNIC014354620";17/02/2021;"B08LFZ89XT";"X-RSD0122CE";"ROBOROCK";"ROBOROCK E4 BLACK";"406-3257041-6874746";1;;;"R1102S03601398";"Used";"yes";"PRG211124747659 ";25/11/2021;"x"
"LPNHE580883560";17/09/2021;"B08DHVSQQR";"X-RSD0105CE";"ROBOROCK";"ROBOROCK S6 PURE BLACK";"402-0227733-2377937";1;;;"R0905K04203393";"Used";"yes";"PRG211124747659 ";25/11/2021;"x"
"LPNHE572608093";07/08/2021;"B085G2N2F7";"X-RSD0106CE";"ROBOROCK";"ROBOROCK S6 PURE WHITE";"404-7729347-9551509";1;;;"R0906K05203591";"Used";"yes";"PRG211124747659 ";25/11/2021;"x"
"LPNIC011102887";05/08/2021;"B085G2N2F7";"X-RSD0106CE";"ROBOROCK";"ROBOROCK S6 PURE WHITE";"402-4944129-2334719";1;;;"R0906K10606820";"Used";"yes";"PRG211124747659 ";25/11/2021;"x"
"LPNHE601855770";15/10/2021;"B0841S2G1C";"X-S5E02-00";"ROBOROCK";"ROBOROCK S5 MAX WHITE";"407-8899421-7892304";1;;;"R0517S11713881";"Used";"yes";"PRG211124747659 ";25/11/2021;"x"
"LPNIC006090844";02/02/2021;"B08DHVSQQR";"X-RSD0105CE";"ROBOROCK";"ROBOROCK S6 PURE BLACK";"171-4747863-1869144";1;;;"R0905K02802931";"Used";"yes";"PRG211124747659 ";25/11/2021;"x"
"LPNHE559011351";12/09/2021;"B08LFZ89XT";"X-RSD0122CE";"ROBOROCK";"ROBOROCK E4 BLACK";"404-4922841-6935563";1;;;"R1102S03101706";"Used";"yes";"PRG211124747659 ";25/11/2021;"x"
"LPNIC011163084";11/10/2021;"B08DHVSQQR";"X-RSD0105CE";"ROBOROCK";"ROBOROCK S6 PURE BLACK";"407-1610583-3415521";1;;;"R0905K04200940";"Used";"yes";"PRG211124747659 ";25/11/2021;"x"
"LPNIC010520126";27/05/2021;"B08DHVSQQR";"X-RSD0105CE";"ROBOROCK";"ROBOROCK S6 PURE BLACK";"407-5616893-3397145";1;;;"R0905K04402710";"Used";"yes";"PRG211124747659 ";25/11/2021;"x"
"LPNIC011139072";29/08/2021;"B08LFZ89XT";"X-RSD0122CE";"ROBOROCK";"ROBOROCK E4 BLACK";"406-9517982-8311523";1;;;"R1102S03101696";"Used";"yes";"PRG211124747659 ";25/11/2021;"x"
"LPNIC011163126";11/10/2021;"B085G2N2F7";"X-RSD0106CE";"ROBOROCK";"ROBOROCK S6 PURE WHITE";"406-1040519-0461119";1;;;"R0906K11101620";"Used";"yes";"PRG211124747659 ";25/11/2021;"x"
"LPNIC018421042";30/10/2021;"B093SR6K9H";"X-RSD0195CE";"ROBOROCK";"ROBOROCK S7 BLACK";"406-1343997-0896358";1;;;"R14E5S12106135";"Used";"yes";"PRG211124747659 ";25/11/2021;"x"
"LPNIC011139883";05/10/2021;"B08YJL11Q2";"RSD0194CE";"ROBOROCK";"ROBOROCK S7 WHITE";"404-6435558-2370769";1;;;"R14E2S11401696";"Used";"yes";"PRG211124747659 ";25/11/2021;"x"
"LPNHK076938335";22/09/2021;"B08DHVSQQR";"X-RSD0105CE";"ROBOROCK";"ROBOROCK S6 PURE BLACK";"304-3121410-3737913";1;;;"R0905K02803746";"Used";"yes";"PRG211124747659 ";25/11/2021;"x"
"LPNHK076691350";02/10/2021;"B095X86D23";"CRC-2008338";"CRICUT";"CRICUT EXPLOREAIR3 MENTHE";"306-0888079-6107556";1;;;"N100321J4954";"Used";"yes";"PRG211124747659 ";25/11/2021;"x"
"LPNIC018234141";24/10/2021;"B09H7SZ5RK";"SNS-BEAM2EU1BLK";"SONOS";"SONOS BEAMGEN2 BLACK";"404-6827577-3121936";1;;;;"Used";"yes";"PRG211124747659 ";25/11/2021;"x"
"LPNHE581910655";04/10/2021;"B08YWWY5TD";"SNS-ROAM1R21";"SONOS";"SONOS ROAM WHITE";"408-1185498-9540343";1;;;"A1002105WC54-2A-1B-BB-39-96-D";"Used";"yes";"PRG211124747659 ";25/11/2021;"x"
"LPNHE553093053";21/10/2021;"B08YWWY5TD";"SNS-ROAM1R21";"SONOS";"SONOS ROAM WHITE";"404-4292313-7782739";1;;;"A1002102WC54-2A-1B-41-02-B2-0";"Used";"yes";"PRG211124747659 ";25/11/2021;"x"
"LPNHE553487986";14/07/2021;"B08YWWY5TD";"SNS-ROAM1R21";"SONOS";"SONOS ROAM WHITE";"404-0486778-5573903";1;;;"A1002103WC54-2A-1B-45-E8-5A-A";"Used";"yes";"PRG211124747659 ";25/11/2021;"x"
"LPNHE553380660";07/10/2021;"B08YWWY5TD";"SNS-ROAM1R21";"SONOS";"SONOS ROAM WHITE";"402-4596842-1204325";1;;;"A1002105WC54-2A-1B-BA-F6-66-0";"Used";"yes";"PRG211124747659 ";25/11/2021;"x"
"LPNHE569502543";12/09/2021;"B08YWWY5TD";"SNS-ROAM1R21";"SONOS";"SONOS ROAM WHITE";"171-7401247-0875519";1;;;"A1002104WC54-2A-1B-B7-3C-66-F";"Used";"yes";"PRG211124747659 ";25/11/2021;"x"
"LPNHE527558619";01/10/2021;"B08YWWY5TD";"SNS-ROAM1R21";"SONOS";"SONOS ROAM WHITE";"408-2036823-4049914";1;;;"A1002104WC54-2A-1B-B7-35-D2-E";"Used";"yes";"PRG211124747659 ";25/11/2021;"x"
"LPNHE553093107";21/10/2021;"B08YXBSP6X";"SNS-ROAM1R21BLK";"SONOS";"SONOS ROAM BLACK";"171-4338858-8388305";1;;;"A1002106WC54-2A-1B-BA-C6-D0-7";"Used";"yes";"PRG211124747659 ";25/11/2021;"x"
"LPNHE553092966";21/10/2021;"B07P9VM3B7";"SNS-ONEG2EU1";"SONOS";"SONOS ONE WHITE";"406-8206847-8122747";1;;;"A2012106CP54-2A-1B-F3-1C-8E-F";"Used";"yes";"PRG211124747659 ";25/11/2021;"x"
"LPNHE562552373";22/10/2021;"B07P9VM3B7";"SNS-ONEG2EU1";"SONOS";"SONOS ONE WHITE";"402-0334637-7278701";1;;;"A2012105CP54-2A-1B-F1-B2-B4-E";"Used";"yes";"PRG211124747659 ";25/11/2021;"x"
"LPNHE611964573";22/10/2021;"B082W8322S";"SNS-AMPG1EU1BLK";"SONOS";"SONOS AMP";"408-3830820-4881121";1;;;;"Used";"yes";"PRG211124747659 ";25/11/2021;"x"
"LPNHE553325777";19/08/2021;"B08YWWY5TD";"SNS-ROAM1R21";"SONOS";"SONOS ROAM WHITE";"406-3689919-6512346";1;;;"A1002103WC54-2A-1B-45-E6-62-G";"Used";"yes";"PRG211124747659 ";25/11/2021;"x"
"LPNIC028504388";28/10/2021;"B08YXBSP6X";"SNS-ROAM1R21BLK";"SONOS";"SONOS ROAM BLACK";"405-9734921-6481118";1;;;"A1002104WC54-2A-1B-B7-5F-9E-4";"Used";"yes";"PRG211124747659 ";25/11/2021;"x"
"LPNIC021321328";20/10/2021;"B07WVSF8VW";"SNS-MOVE1EU1BLK";"SONOS";"SONOS MOVE BLACK";"171-2732213-2951510";1;;;"A1012108WCF0-F6-C1-56-0B-0C-D";"Used";"yes";"PRG211124747659 ";25/11/2021;"x"
"LPNHE567081563";20/10/2021;"B07P5JHJJT";"SNS-ONEG2EU1BLK";"SONOS";"SONOS ONE BLACK";"406-6096813-2773146";1;;;"A2012107CPF0-F6-C1-85-07-32-9";"Used";"yes";"PRG211124747659 ";25/11/2021;"x"
"LPNHE553381130";18/10/2021;"B07WWWLRJP";"SNS-ONESLEU1BLK";"SONOS";"SONO SONESL BLACK";"171-2441142-1761160";1;;;"A2002108CPF0-F6-C1-23-38-FC-9";"Used";"yes";"PRG211124747659 ";25/11/2021;"x"
"LPNHE527558944";06/10/2021;"B07P5JHJJT";"SNS-ONEG2EU1BLK";"SONOS";"SONOS ONE BLACK";"403-3593695-7134745";1;;;;"Used";"yes";"PRG211124747659 ";25/11/2021;"x"
"LPNHE610182018";12/10/2021;"B08BGCTZLY";"SNS-MOVE1EU1";"SONOS";"SONOS MOVE WHITE";"408-2840578-8515529";1;;;"A1012105WC54-2A-1B-76-D0-CE-F";"Used";"yes";"PRG211124747659 ";25/11/2021;"x"
"LPNIC021791059";25/10/2021;"B08BGCTZLY";"SNS-MOVE1EU1";"SONOS";"SONOS MOVE WHITE";"407-9888920-9284368";1;;;"A1012105WC54-2A-1B-76-D1-7A-0";"Used";"yes";"PRG211124747659 ";25/11/2021;"x"
"LPNIC023383252";21/10/2021;"B08BGCTZLY";"SNS-MOVE1EU1";"SONOS";"SONOS MOVE WHITE";"408-9570478-5342721";1;;;"A1012107WC54-2A-1B-77-42-B54-1";"Used";"yes";"PRG211124747659 ";25/11/2021;"x"
"LPNIC021863205";25/10/2021;"B08BGCTZLY";"SNS-MOVE1EU1";"SONOS";"SONOS MOVE WHITE";"403-1429054-7297147";1;;;"A1012105WC54-2A-1B-76-CF-E6-4";"Used";"yes";"PRG211124747659 ";25/11/2021;"x"
"LPNHE527768539";29/10/2021;"B075XNRRG4";"P3D2077";"PAX";"PAX2 BRUSHED CHARCOAL";"403-6969569-2661952";1;;;"49GPGQ";"Used";"yes";"PRG211124747659 ";25/11/2021;"x"
"LPNHE611214937";24/10/2021;"B075XNRRG4";"P3D2077";"PAX";"PAX2 BRUSHED CHARCOAL";"171-0404613-4481965";1;;;"PJX7QP9T";"Used";"yes";"PRG211124747659 ";25/11/2021;"x"
"LPNHE581054366";21/09/2021;"B08HQDCSNQ";"P3D2452";"PAX";"PAX3 BASIC BURGUNDY";"406-2014009-4581120";1;;;"QRKTQ8X8";"Used";"yes";"PRG211124747659 ";25/11/2021;"x"
"LPNHE553292101";26/09/2021;"B07P9VM3B7";"SNS-ONEG2EU1";"SONOS";"SONOS ONE WHITE";"404-3926711-8431535";1;"GzYxdlGa9n";;"A2012106CP54-2A-1B-F2-FF-60-8";"Used";"yes";"PRG220107748395 ";11/01/2022;"x"
"LPNHK067767815";13/05/2021;"B085BP7ZC5";"X-SKV4109GL";"XIAOMI";"XIAOMI MOPPRO BLACK";"302-3065127-7878705";1;"GzYxdlGa9n";;"26199/00255185";"Used";"yes";"PRG220107748395 ";11/01/2022;"x"
"LPNIC018448829";11/10/2021;"B0883K61BG";"SNS-ARCG1EU1BLK";"SONOS";"SONOS ARC BLACK";"402-5281436-1630733";1;"GzYxdlGa9n";;"A1002101WC48-A6-B8-BF-47-1F-1";"Used";"yes";"PRG220107748395 ";11/01/2022;"x"
"LPNHK067255525";11/05/2021;"B085BP7ZC5";"X-SKV4109GL";"XIAOMI";"XIAOMI MOPPRO BLACK";"306-5154134-2269103";1;"GzYxdlGa9n";;"29199/00268698";"Used";"yes";"PRG220107748395 ";11/01/2022;"x"
"LPNHK076752267";16/09/2021;"B085G2N2F7";"X-RSD0106CE";"ROBOROCK";"ROBOROCK S6 PURE WHITE";"404-8948193-5058728";1;"GzYxdlGa9n";;"R0906K11101543";"Used";"yes";"PRG220107748395 ";11/01/2022;"x"
"LPNHE600554121";22/11/2021;"B08HQDCSNQ";"P3D2452";"PAX";"PAX3 BASIC BURGUNDY";"306-4768106-8691514";1;"GzYxdlGa9n";;"NKJD3MH9";"Used";"yes";"PRG220107748395 ";11/01/2022;"x"
"LPNHE606776843";24/11/2021;"B01N76KFKN";"P2A1740";"PAX";"PAX MAINTENANCE KIT";"406-3332447-9894757";1;"GzYxdlGa9n";;;"Used";"yes";"PRG220107748395 ";11/01/2022;"x"
"LPNHE603247005";01/11/2021;"B01N76KFKN";"P2A1740";"PAX";"PAX MAINTENANCE KIT";"171-3026284-1957906";1;"GzYxdlGa9n";;;"Used";"yes";"PRG220107748395 ";11/01/2022;"x"
"LPNHE603101117";04/11/2021;"B01MTOWIV6";"P2A1741";"PAX";"PA XMINI USB CHARGER";"306-8858922-1317912";1;"GzYxdlGa9n";;;"Used";"yes";"PRG220107748395 ";11/01/2022;"x"
"LPNHL985621539";07/11/2021;"B075XPND1C";"P3D2076";"PAX";"PAX2 BRUSHED PLATINIUM";"405-3885314-2824329";1;"GzYxdlGa9n";;;"New";"yes";"PRG220107748395 ";11/01/2022;"x"
"LPNHE583597816";08/09/2021;"B084RSMS24";"CRC-2007992";"CRICUT";"CRICUT JOY";"303-8608183-2824328";1;"GzYxdlGa9n";;;"New";"yes";"PRG220107748395 ";11/01/2022;"x"
"LPNHL985123385";26/11/2021;"B084RSMS24";"CRC-2007992";"CRICUT";"CRICUT JOY";"305-0290336-7253151";1;"GzYxdlGa9n";;;"Used";"yes";"PRG220107748395 ";11/01/2022;"x"
"LPNHR000591049";31/10/2021;"B085G2N2F7";"X-RSD0106CE";"ROBOROCK";"ROBOROCK S6 PURE WHITE";"408-9094342-3409923";1;"GzYxdlGa9n";;"R0906K0220918";"Used";"yes";"PRG220107748395 ";11/01/2022;"x"
"LPNHE576813660";18/07/2021;"B0852NHYC7";"X-SKV4093GL";"XIAOMI";"XIAOMI MOP";"407-9740204-6125935";1;"GzYxdlGa9n";;;"Used";"yes";"PRG220107748395 ";11/01/2022;"x"
"LPNHK066778828";12/08/2021;"B095X86D23";"CRC-2008338";"CRICUT";"CRICUT EXPLOREAIR3 MENTHE";"306-2077460-5545134";1;"GzYxdlGa9n";;;"Used";"yes";"PRG220107748395 ";11/01/2022;"x"
"LPNHE598076833";13/11/2021;"B08DHWLZSR";"X-RSD0177CE";"ROBOROCK";"ROBOROCK S6 MAXV";"171-5549932-4225161";1;"GzYxdlGa9n";;"R0402S04100743";"Used";"yes";"PRG220107748395 ";11/01/2022;"x"
"LPNHR000678291";25/10/2021;"B0969W5T3C";"X-RDK0011CE";"ROBOROCK";"ROBOROCK EMPTYDOCK S7 WHITE";"403-2433299-3800312";1;"GzYxdlGa9n";;"R2011K12200151";"Used";"yes";"PRG220107748395 ";11/01/2022;"x"
"LPNIC018421450";12/11/2021;"B085BP7ZC5";"X-SKV4109GL";"XIAOMI";"XIAOMI MOPPRO BLACK";"408-2235125-2368368";1;"GzYxdlGa9n";;"26199/00490347";"Used";"yes";"PRG220107748395 ";11/01/2022;"x"
"LPNIC029578149";30/11/2021;"B08CKT6KM2";"X-SKV4136GL";"XIAOMI";"XIAOMI MOP ESSENTIAL";"406-7116267-1075567";1;"GzYxdlGa9n";;"27103/0056622675";"Used";"yes";"PRG220107748395 ";11/01/2022;"x"
"LPNIC018449620";01/11/2021;"B09H7PFWGF";"SNS-BEAM2EU1";"SONOS";"SONOS BEAMGEN2 WHITE";"406-4437099-7169958";1;"GzYxdlGa9n";;"A2002107CP54-2A-1B-91-A0-A2-1";"Used";"yes";"PRG220107748395 ";11/01/2022;"x"
"LPNIC018457858";13/11/2021;"B085BP7ZC5";"X-SKV4109GL";"XIAOMI";"XIAOMI MOPPRO BLACK";"171-7824326-3871500";1;"GzYxdlGa9n";;;"Used";"yes";"PRG220107748395 ";11/01/2022;"x"
"LPNIC029494473";17/11/2021;"B08DHVSQQR";"X-RSD0105CE";"ROBOROCK";"ROBOROCK S6 PURE BLACK";"405-7541298-1717168";1;"GzYxdlGa9n";;"R0905K04501151";"Used";"yes";"PRG220107748395 ";11/01/2022;"x"
"LPNHE562837683";11/08/2021;"B07WVSF8VW";"SNS-MOVE1EU1BLK";"SONOS";"SONOS MOVE BLACK";"407-3091596-9836361";1;"GzYxdlGa9n";;"A101210WCF0-F6-C1-51-98-8C-5";"Used";"yes";"PRG220107748395 ";11/01/2022;"x"
"LPNHL994471053";02/10/2021;"B08HQ1MSGF";"P3D2451";"PAX";"PAX3 BASIC SAGE";"404-1130812-1657918";1;"GzYxdlGa9n";;"VF5R1YFV";"Used";;"PRG220126705525";26/01/2022;"x"
"LPNHE613313951";16/10/2021;"B075WVZN5Z";"P3D2050";"PAX";"PAX3 BASIC BLACK";"405-9813284-1030723";1;"GzYxdlGa9n";;"HAUGDW8U";"Used";;"PRG220126705525";26/01/2022;"x"
"LPNHR000751647";08/10/2021;"B08HQWV41Z";"P3D2449";"PAX";"PAX3 BASIC ONYX";"406-1315021-2497159";1;"GzYxdlGa9n";;"T47WNWPD";"Used";;"PRG220126705525";26/01/2022;"x"
"LPNHK078181497";22/10/2021;"B08HQTJ5CT";"P3D2453";"PAX";"PAX3 COMPLETE ONYX";"406-1587155-6576309";1;"GzYxdlGa9n";;"QVVT3695";"Used";;"PRG220126705525";26/01/2022;"x"
"LPNHE608979805";25/10/2021;"B08HPXDBG2";"P3D2450";"PAX";"PAX3 BASIC SAND";"402-0036948-3534727";1;"GzYxdlGa9n";;"J8PK9939";"Used";;"PRG220126705525";26/01/2022;"x"
"LPNHL994804627";04/10/2021;"B075WVZN5Z";"P3D2050";"PAX";"PAX3 BASIC BLACK";"405-6958800-0329969";1;"GzYxdlGa9n";;"NKXCVH25";"Used";;"PRG220126705525";26/01/2022;"x"
"LPNHL994789066";08/10/2021;"B08HQ1MSGF";"P3D2451";"PAX";"PAX3 BASIC SAGE";"402-2029811-2739528";1;"GzYxdlGa9n";;"N3M2TK3X";"Used";;"PRG220126705525";26/01/2022;"x"
"LPNHK079529025";05/10/2021;"B075XNRRG4";"P3D2077";"PAX";"PAX2 BRUSHED CHARCOAL";"403-0953981-4286724";1;"GzYxdlGa9n";;"R35PPVN3";"Used";;"PRG220126705525";26/01/2022;"x"
"LPNHL994838923";02/10/2021;"B075XNRRG4";"P3D2077";"PAX";"PAX2 BRUSHED CHARCOAL";"408-6779581-6129126";1;"GzYxdlGa9n";;"F3WXWC5J";"Used";;"PRG220126705525";26/01/2022;"x"
"LPNHE604976817";30/11/2021;"B08HQ1HG71";"P3D2454";"PAX";"PAX3 COMPLETE SAND";"303-9131252-1437956";1;"GzYxdlGa9n";;"PX9YMJXH";"Used";;"PRG220126705525";26/01/2022;"x"
"LPNHE589647998";05/12/2021;"B08HQ1HG71";"P3D2454";"PAX";"PAX3 COMPLETE SAND";"305-2051929-5097946";1;"GzYxdlGa9n";;"PY0G1738";"Used";;"PRG220126705525";26/01/2022;"x"
"LPNHE598384042";19/11/2021;"B08921F2TF";"X-MS2000-7";"INFACE";"INFACE SONIC CLEAN PRO BLUE";"407-1534931-8926752";1;"GzYxdlGa9n";;;"Used";;"PRG220126705525";26/01/2022;"x"
"LPNHE610131361";12/11/2021;"B075XNRRG4";"P3D2077";"PAX";"PAX2 BRUSHED CHARCOAL";"408-4267344-4140329";1;"GzYxdlGa9n";;"FQCV2QHC";"Used";;"PRG220126705525";26/01/2022;"x"
"LPNHE603113356";08/11/2021;"B084RSMS24";"CRC-2007992";"CRICUT";"CRICUT JOY";"028-2671977-2467564";1;"GzYxdlGa9n";;;"Used";;"PRG220126705525";26/01/2022;"x"
"LPNHK085735646";24/12/2021;"B093SR6K9H";"X-RSD0195CE";"ROBOROCK";"ROBOROCK S7 BLACK";"407-8309102-6389942";1;"GzYxdlGa9n";;"R14E5S12106148";"Used";;"PRG220126705525";26/01/2022;"x"
"LPNHK068367432";27/07/2021;"B085G2N2F7";"X-RSD0106CE";"ROBOROCK";"ROBOROCK S6 PURE WHITE";"028-8491278-9178761";1;"GzYxdlGa9n";;"R0906K03506717";"Used";;"PRG220126705525";26/01/2022;"x"
"LPNHK085721117";27/12/2021;"B095X6ZS6H";"CRC-2008335";"CRICUT";"CRICUT MAKER3 BLUE";"303-6539081-5947565";1;"GzYxdlGa9n";;;"Used";;"PRG220126705525";26/01/2022;"x"
"LPNHK068212122";13/07/2021;"B095X86D23";"CRC-2008338";"CRICUT";"CRICUT EXPLOREAIR3 MENTHE";"304-2351230-4216311";1;"GzYxdlGa9n";;;"Used";;"PRG220126705525";26/01/2022;"x"
"LPNHK068209990";26/07/2021;"B07TJ6WR7N";"CRC-2007002";"CRICUT";"CRICUT MAKER2 CHAMPAGNE";"028-8474630-3727519";1;"GzYxdlGa9n";;;"Used";;"PRG220126705525";26/01/2022;"x"
"LPNIC018235600";01/12/2021;"B08CKT6KM2";"X-SKV4136GL";"XIAOMI";"XIAOMI MOP ESSENTIAL";"407-4011147-0864335";1;"GzYxdlGa9n";;;"Used";;"PRG220126705525";26/01/2022;"x"
"LPNIC029374631";05/12/2021;"B08CKT6KM2";"X-SKV4136GL";"XIAOMI";"XIAOMI MOP ESSENTIAL";"171-4123304-1970702";1;"GzYxdlGa9n";;;"Used";;"PRG220126705525";26/01/2022;"x"
"LPNIC018325251";08/12/2021;"B08CKT6KM2";"X-SKV4136GL";"XIAOMI";"XIAOMI MOP ESSENTIAL";"407-1527163-5459525";1;"GzYxdlGa9n";;;"Used";;"PRG220126705525";26/01/2022;"x"
"LPNIC029495635";08/12/2021;"B08CKT6KM2";"X-SKV4136GL";"XIAOMI";"XIAOMI MOP ESSENTIAL";"407-5558460-4960348";1;"GzYxdlGa9n";;;"Used";;"PRG220126705525";26/01/2022;"x"
"LPNIC028878017";02/12/2021;"B09H7SZ5RK";"SNS-BEAM2EU1BLK";"SONOS";"SONOS BEAMGEN2 BLACK";"404-0359621-9669145";1;"GzYxdlGa9n";;;"Used";;"PRG220126705525";26/01/2022;"x"
"LPNIC028878017";02/12/2021;"B09H7SZ5RK";"SNS-BEAM2EU1BLK";"SONOS";"SONOS BEAMGEN2 BLACK";"404-0359621-9669145";1;"GzYxdlGa9n";;;"Used";;"PRG220126705525";26/01/2022;"x"
"LPNIC029494955";25/11/2021;"B08CKT6KM2";"X-SKV4136GL";"XIAOMI";"XIAOMI MOP ESSENTIAL";"403-3281226-8166709";1;"GzYxdlGa9n";;;"Used";;"PRG220126705525";26/01/2022;"x"
"LPNIC028858424";26/12/2021;"B085G2N2F7";"X-RSD0106CE";"ROBOROCK";"ROBOROCK S6 PURE WHITE";"402-2030532-9825939";1;"GzYxdlGa9n";;;"Used";;"PRG220126705525";26/01/2022;"x"
"LPNIC029156609";14/12/2021;"B08DHVSQQR";"X-RSD0105CE";"ROBOROCK";"ROBOROCK S6 PURE BLACK";"405-9684523-8117900";1;"GzYxdlGa9n";;;"Used";;"PRG220126705525";26/01/2022;"x"
"LPNHK054346097";26/11/2020;"B08DHVSQQR";"X-RSD0105CE";"ROBOROCK";"ROBOROCK S6 PURE BLACK";"304-5467472-0395522";1;"21042317XK";;"R0906K02202034";"Used";;"Return_from_UK";;"x"
"LPNHK040269802";12/11/2020;"B08DHVSQQR";"X-RSD0105CE";"ROBOROCK";"ROBOROCK S6 PURE BLACK";"028-2897456-9514734";1;"21042317XK";;"R0905K02804105";"Used";;"Return_from_UK";;"x"
"LPNHK040375966";03/12/2020;"B08DHWLZSR";"X-RSD0177CE";"ROBOROCK";"ROBOROCK S6 MAXV";"407-7687949-0837161";1;"21042317XK";;"R0402S03102886";"Used";;"Return_from_UK";;"x"
"LPNHK054425116";30/11/2020;"B085G2N2F7";"X-RSD0106CE";"ROBOROCK";"ROBOROCK S6 PURE WHITE";"305-2909480-9417929";1;"21042317XK";;"R0906K02203799";"Used";;"Return_from_UK";;"x"
"LPNHK040857716";23/11/2020;"B08DHWLZSR";"X-RSD0177CE";"ROBOROCK";"ROBOROCK S6 MAXV";"403-9382237-1119566";1;"21042317XK";;"R0402S03101716";"Used";;"Return_from_UK";;"x"
"LPNHK040073578";25/11/2020;"B08DHVSQQR";"X-RSD0105CE";"ROBOROCK";"ROBOROCK S6 PURE BLACK";"306-0576316-7320319";1;"21042317XK";;"R0905K02803857";"Used";;"Return_from_UK";;"x"
"LPNHK054348529";30/11/2020;"B08DHVSQQR";"X-RSD0105CE";"ROBOROCK";"ROBOROCK S6 PURE BLACK";"303-0241046-4622733";1;"21042317XK";;"R0905K02804725";"Used";;"Return_from_UK";;"x"
"LPNHK048443247";25/11/2020;"B085G2N2F7";"X-RSD0106CE";"ROBOROCK";"ROBOROCK S6 PURE WHITE";"406-1096739-6660302";1;"21042317XK";;"R0906K02202226";"Used";;"Return_from_UK";;"x"
