"license-plate-number";"customer-return-date";"asin";"sku";"Brand";"Product Name";"amazon-order-id";"quantity";"Collection_Order";"delivery-date-biarritz";"device-serial-number";"item-status";"RMA KP";"ID ";"RMA batch";"LaRoca"
"LPNHE562944466";25/06/2021;"B07WVSF8VW";"SNS-MOVE1EU1BLK";"SONOS";"SONOS MOVE BLACK";"408-0120463-6455513";1;;15/09/2021;"A1002009WC48-A6-B8-EB-0D-2E-2";"Used";"yes";"PRG210922733412";22/09/2021;"x"
"LPNHE554526886";11/06/2021;"B075WYBXKK";"P3D2051";"PAX";"PAX3 BASIC TEAL";"407-6149232-6655543";1;;17/09/2021;"WN2F8P7Y";"Used";"yes";"PRG210922733412";22/09/2021;"x"
"LPNHE554323418";05/06/2021;"B08HQWV41Z";"P3D2449";"PAX";"PAX3 BASIC ONYX";"406-2103922-5448316";1;;17/09/2021;"FX0HWDFF";"Used";"yes";"PRG210922733412";22/09/2021;"x"
"LPNHE553255014";09/06/2021;"B08HQWV41Z";"P3D2449";"PAX";"PAX3 BASIC ONYX";"171-5167932-5735520";1;;17/09/2021;"KHKK66RJ";"Used";"yes";"PRG210922733412";22/09/2021;"x"
"LPNHE553319093";07/06/2021;"B07WVSF8VW";"SNS-MOVE1EU1BLK";"SONOS";"SONOS MOVE BLACK";"406-1313480-2578718";1;;17/09/2021;"A1002101WC48-A6-B8-EE-F1-D4-8";"Used";"yes";"PRG210922733412";22/09/2021;"x"
"LPNHE553015737";09/06/2021;"B08YXBSP6X";"SNS-ROAM1R21BLK";"SONOS";"SONOS ROAM BLACK";"408-6771781-2721162";1;;17/09/2021;"A100210WC54-2A-1B-43-B7-F6-D";"Used";"yes";"PRG210922733412";22/09/2021;"x"
"LPNHE553113146";07/06/2021;"B08YXBSP6X";"SNS-ROAM1R21BLK";"SONOS";"SONOS ROAM BLACK";"407-6345953-5516356";1;;17/09/2021;"A1002102W54-2A-1B-43-B1-64-9";"Used";"yes";"PRG210922733412";22/09/2021;"x"
"LPNHE557234979";20/06/2021;"B08BGCTZLY";"SNS-MOVE1EU1";"SONOS";"SONOS MOVE WHITE";"171-2080044-9546733";1;;17/09/2021;"A1012103WC54-2A-1B-76-59-F2-0";"Used";"yes";"PRG210922733412";22/09/2021;"x"
"LPNHE563068464";28/06/2021;"B08YXBSP6X";"SNS-ROAM1R21BLK";"SONOS";"SONOS ROAM BLACK";"408-2879226-7531547";1;;17/09/2021;"A1002102WC54-2A-1B-43-BB-EA-5";"Used";"yes";"PRG210922733412";22/09/2021;"x"
"LPNHE553308227";08/06/2021;"B08YWWY5TD";"SNS-ROAM1R21";"SONOS";"SONOS ROAM WHITE";"407-3842385-8168339";1;;17/09/2021;"A1002102W54-2A-1B-41-04-62-7";"Used";"yes";"PRG210922733412";22/09/2021;"x"
"LPNHE553104146";24/06/2021;"B08YWWY5TD";"SNS-ROAM1R21";"SONOS";"SONOS ROAM WHITE";"407-7368906-1881163";1;;17/09/2021;"A1002102WC54-2A-1B-40-F7-72-A";"Used";"yes";"PRG210922733412";22/09/2021;"x"
"LPNHE553246090";07/06/2021;"B08YWWY5TD";"SNS-ROAM1R21";"SONOS";"SONOS ROAM WHITE";"171-4182972-3683516";1;;17/09/2021;"A1002102WC54-2A-1B-40-F7-9C-1";"Used";"yes";"PRG210922733412";22/09/2021;"x"
"LPNHE557171356";28/06/2021;"B08HQ1HG71";"P3D2454";"PAX";"PAX3 COMPLETE SAND";"402-7439772-4296335";1;;21/09/2021;"HH95Y9Y4";"Used";"yes";"PRG210922733412";22/09/2021;"x"
"LPNHE562871977";29/06/2021;"B08HQTJ5CT";"P3D2453";"PAX";"PAX3 COMPLETE ONYX";"171-3745871-9647547";1;;21/09/2021;"NMY24JMW";"Used";"yes";"PRG210922733412";22/09/2021;"x"
"LPNHE557247057";16/06/2021;"B075XNRRG4";"P3D2077";"PAX";"PAX2 BRUSHED CHARCOAL";"404-2174801-5569950";1;;21/09/2021;"CT2QJGXV";"Used";"yes";"PRG210922733412";22/09/2021;"x"
"LPNHE554233987";04/06/2021;"B08YWWY5TD";"SNS-ROAM1R21";"SONOS";"SONOS ROAM WHITE";"407-6622841-2647510";1;;21/09/2021;"A1002102WC54-2A-1B-41-04-36-E";"Used";"yes";"PRG210922733412";22/09/2021;"x"
"LPNHE557234982";20/06/2021;"B08YWWY5TD";"SNS-ROAM1R21";"SONOS";"SONOS ROAM WHITE";"404-0455448-0423559";1;;21/09/2021;"A1002102WC54-2A-1B-40-FB-D2-8";"Used";"yes";"PRG210922733412";22/09/2021;"x"
"LPNIC010353130";18/05/2021;"B08YWWY5TD";"SNS-ROAM1R21";"SONOS";"SONOS ROAM WHITE";"171-8518611-6518748";1;;21/09/2021;"A1002103W54-2A-1B-47-FE-E6-4";"Used";"yes";"PRG210922733412";22/09/2021;"x"
"LPNHE557038530";15/06/2021;"B08YWWY5TD";"SNS-ROAM1R21";"SONOS";"SONOS ROAM WHITE";"407-8045079-0541967";1;;21/09/2021;"A1002102WC54-2A-1B-41-00-90-F";"Used";"yes";"PRG210922733412";22/09/2021;"x"
