"External Document No_";"Location Code";"Document No_";"Package Tracking No_";"Customer No_";"Name";"Item No_"
"406-9078691-9644307";"AMAZON";"DSR22000238";"LPNA012694189";"000163";"AMAZON PAX IT";"PX-P3D2576"
"406-9078691-9644307";"AMAZON";"PDVF22/000810";"LPNA012694189";"000163";"AMAZON PAX IT";
"407-3365627-9584321";"AMAZON";"DSRF22000783";"LPNA013153098";"000163";"AMAZON PAX IT";"PX-P3D2541"
"407-3365627-9584321";"AMAZON";"PDVF22/001123";"LPNA013153098";"000163";"AMAZON PAX IT";
"171-3813719-8438707";"AMAZON";"DSRF22000707";"LPNA013478058";"000163";"AMAZON PAX IT";"PX-P3D2449"
"171-3813719-8438707";"AMAZON";"PDVF22/001043";"LPNA013478058";"000163";"AMAZON PAX IT";
"403-2356761-2153915";"AMAZON";"DSRF22000819";"LPNA013707408";"000163";"AMAZON PAX IT";"PX-P3D2449"
"403-2356761-2153915";"AMAZON";"PDVF22/001539";"LPNA013707408";"000163";"AMAZON PAX IT";
"405-1457602-1182758";"AMAZON";"DSRF22000529";"LPNA015911814";"000163";"AMAZON PAX IT";"MI-EVO13"
"405-1457602-1182758";"AMAZON";"PDVF22/000798";"LPNA015911814";"000163";"AMAZON PAX IT";
"171-3813719-8438707";"AMAZON";"DSRF22000617";"LPNA016315099";"000163";"AMAZON PAX IT";"PX-P2A1740"
"171-3813719-8438707";"AMAZON";"PDVF22/001069";"LPNA016315099";"000163";"AMAZON PAX IT";
"406-6086000-3621946";"AMAZON";"DSRF22000749";"LPNA016488969";"000163";"AMAZON PAX IT";"PX-P2D2077"
"406-6086000-3621946";"AMAZON";"PDVF22/000970";"LPNA016488969";"000163";"AMAZON PAX IT";
"305-9445127-9218732";"AMAZON";"DSR21001174";"LPNHE282788422";"000193";"AMAZON PAX DE";"X-SKV4093GL"
"305-9445127-9218732";"AMAZON";"PDVF21/000971";"LPNHE282788422";"000193";"AMAZON PAX DE";
"302-6586722-9163541";"AMAZON";"DSR21001064";"LPNHE294249065";"000193";"AMAZON PAX DE";"PX-P2A1737"
"302-6586722-9163541";"AMAZON";"PDVF21/000953";"LPNHE294249065";"000193";"AMAZON PAX DE";
"402-4610572-2032340";"AMAZON";"PDVF21/000990";"LPNHE310311411";"000222";"AMAZON PAX FR";
"204-0844327-9660305";"AMAZON";"DSR21000076";"LPNHE351840591";"000223";"Amazon Pax Uk";"PX-P3D2044"
"026-6373476-3713111";"AMAZON";"DSR21000111";"LPNHE353229154";"000223";"Amazon Pax Uk";"PX-P3D2050"
"204-9867303-2777938";"AMAZON";"DSR21000081";"LPNHE353367557";"000223";"Amazon Pax Uk";"PX-P3D2042"
"405-8807982-3649911";"AMAZON";"DSR22000183";"LPNHE369924304";"000163";"AMAZON PAX IT";"CRC-2007992"
"405-8807982-3649911";"AMAZON";"PDVF21/001807";"LPNHE369924304";"000163";"AMAZON PAX IT";
"204-9555757-8851554";"AMAZON";"DSR21000087";"LPNHE387932899";"000223";"Amazon Pax Uk";"PX-P3D2050"
"203-6024760-2171512";"AMAZON";"DSR21000066";"LPNHE388311917";"000223";"Amazon Pax Uk";"PX-P3D2043"
"202-3681267-2678746";"AMAZON";"DSR21000226";"LPNHE389241752";"000223";"Amazon Pax Uk";"PX-P3D2042"
"202-3377638-7376301";"AMAZON";"DSR21000095";"LPNHE390188315";"000223";"Amazon Pax Uk";"PX-P3D2053"
"205-6132656-4398702";"AMAZON";"DSR21000093";"LPNHE390962869";"000223";"Amazon Pax Uk";"PX-P3D2050"
"204-1144255-0857918";"AMAZON";"DSR21000115";"LPNHE391327164";"000223";"Amazon Pax Uk";"PX-P3D2042"
"204-2601180-0384357";"AMAZON";"DSR21000077";"LPNHE391390195";"000223";"Amazon Pax Uk";"PX-P3D2042"
"202-8001889-9211548";"AMAZON";"DSR21000079";"LPNHE391595798";"000223";"Amazon Pax Uk";"PX-P3D2042"
"403-6253018-9158706";"AMAZON";"DSR21001188";"LPNHE393705247";"000230";"AMAZON PAX ES";"X-RSD0105CE"
"403-6253018-9158706";"AMAZON";"PDVF21/000916";"LPNHE393705247";"000230";"AMAZON PAX ES";
"404-9936062-1472316";"AMAZON";"DSR21000225";"LPNHE404697337";"000222";"AMAZON PAX FR";"PX-P3D2042"
"405-8472744-4373964";"AMAZON";"DSR21000067";"LPNHE413315951";"000230";"AMAZON PAX ES";"PX-P3D2043"
"404-4263508-4437137";"AMAZON";"DSR21000113";"LPNHE415152669";"000230";"AMAZON PAX ES";"PX-P3D2052"
"028-3525211-8584333";"AMAZON";"DSR21000088";"LPNHE417338132";"000193";"AMAZON PAX DE";"PX-P3D2050"
"303-5097690-9693138";"AMAZON";"DSR21000361";"LPNHE417786803";"000193";"AMAZON PAX DE";"PX-P3D2050"
"305-3471244-1575510";"AMAZON";"DSR21001068";"LPNHE418663854";"000193";"AMAZON PAX DE";"X-SKV4110GL"
"305-3471244-1575510";"AMAZON";"PDVF21/000865";"LPNHE418663854";"000193";"AMAZON PAX DE";
"306-6838029-1906712";"AMAZON";"DSR21000084";"LPNHE419220925";"000193";"AMAZON PAX DE";"PX-P3D2050"
"171-8074038-8698736";"AMAZON";"DSR21000224";"LPNHE421835936";"000222";"AMAZON PAX FR";"PX-P3D2053"
"304-3643485-2388336";"AMAZON";"PDVF21/001041";"LPNHE422492656";"000193";"AMAZON PAX DE";
"404-4863726-5289133";"AMAZON";"DSR21000103";"LPNHE429398145";"000230";"AMAZON PAX ES";"PX-P3D2042"
"406-0622533-9861130";"AMAZON";"PDVF21/000995";"LPNHE437895431";"000222";"AMAZON PAX FR";
"403-9100170-5941141";"AMAZON";"DSR21000102";"LPNHE440997080";"000222";"AMAZON PAX FR";"PX-P2D2076"
"306-5922166-7623541";"AMAZON";"PDVF21/000982";"LPNHE442584847";"000193";"AMAZON PAX DE";
"408-9805845-1874754";"AMAZON";"DSR21001062";"LPNHE451389617";"000230";"AMAZON PAX ES";"PX-P2A1738"
"408-9805845-1874754";"AMAZON";"PDVF21/000889";"LPNHE451389617";"000230";"AMAZON PAX ES";
"407-5746680-1572340";"AMAZON";"PDVF21/001319";"LPNHE453032870";"000230";"AMAZON PAX ES";
"406-1635102-8125915";"AMAZON";"PDVF21/001155";"LPNHE456237236";"000230";"AMAZON PAX ES";
"407-5951740-0086728";"AMAZON";"PDVF21/000993";"LPNHE460334286";"000163";"AMAZON PAX IT";
"404-7903930-6944366";"AMAZON";"PDVF21/001149";"LPNHE462299131";"000230";"AMAZON PAX ES";
"402-5318048-2031553";"AMAZON";"PDVF21/001328";"LPNHE466191228";"000230";"AMAZON PAX ES";
"407-1854535-7918749";"AMAZON";"PDVF21/001327";"LPNHE466357887";"000230";"AMAZON PAX ES";
"405-1505484-0035544";"AMAZON";"PDVF21/001150";"LPNHE467191952";"000230";"AMAZON PAX ES";
"405-5944701-5897918";"AMAZON";"PDVF21/001147";"LPNHE467243607";"000230";"AMAZON PAX ES";
"403-0193293-3441128";"AMAZON";"PDVF21/001148";"LPNHE468087460";"000230";"AMAZON PAX ES";
"305-6346485-3768364";"AMAZON";"DSR21000707";"LPNHE471373671";"000193";"AMAZON PAX DE";"PX-P3D2454"
"305-6346485-3768364";"AMAZON";"PDVF21/000895";"LPNHE471373671";"000193";"AMAZON PAX DE";
"404-5983295-8646706";"AMAZON";"DSRF22000574";"LPNHE477600750";"000230";"AMAZON PAX ES";"SNS-ROAM1R21BLK"
"404-5983295-8646706";"AMAZON";"PDVF22/000636";"LPNHE477600750";"000230";"AMAZON PAX ES";
"404-0095093-9825164";"AMAZON";"PDVF21/001321";"LPNHE477675717";"000230";"AMAZON PAX ES";
"406-8984209-8203513";"AMAZON";"PDVF21/001156";"LPNHE478341933";"000230";"AMAZON PAX ES";
"303-9318994-7941924";"AMAZON";"PDVF21/000991";"LPNHE486875494";"000193";"AMAZON PAX DE";
"403-3109499-6486719";"AMAZON";"DSR21000423";"LPNHE492314678";"000287";"AMAZON PAX NO VAT IT";"X-RSD0177CE"
"403-3109499-6486719";"AMAZON";"PDVF21/000364";"LPNHE492314678";"000287";"AMAZON PAX NO VAT IT";
"403-0223541-5639539";"AMAZON";"PDVF21/000994";"LPNHE495607634";"000163";"AMAZON PAX IT";
"407-7194642-2669137";"AMAZON";"PDVF21/001313";"LPNHE495952230";"000230";"AMAZON PAX ES";
"404-4143920-9834742";"AMAZON";"DSR21001047";"LPNHE499704542";"000163";"AMAZON PAX IT";"PX-P3D2449"
"404-4143920-9834742";"AMAZON";"PDVF21/000927";"LPNHE499704542";"000163";"AMAZON PAX IT";
"408-8712450-1117943";"AMAZON";"PDVF21/001323";"LPNHE504482065";"000163";"AMAZON PAX IT";
"405-3366901-4690733";"AMAZON";"PDVF21/000997";"LPNHE505272941";"000163";"AMAZON PAX IT";
"171-9671367-8713967";"AMAZON";"DSR21001182";"LPNHE505888151";"000163";"AMAZON PAX IT";"X-RSD0106CE"
"171-9671367-8713967";"AMAZON";"PDVF21/000969";"LPNHE505888151";"000163";"AMAZON PAX IT";
"407-0081497-1443557";"AMAZON";"PDVF21/001320";"LPNHE507140775";"000222";"AMAZON PAX FR";
"405-4332606-2769100";"AMAZON";"DSRF21000058";"LPNHE508584123";"000222";"AMAZON PAX FR";"CRC-2007000"
"405-4332606-2769100";"AMAZON";"PDVF21/001264";"LPNHE508584123";"000222";"AMAZON PAX FR";
"404-0634562-6553167";"AMAZON";"DSR21001060";"LPNHE508598627";"000163";"AMAZON PAX IT";"PX-P3D2045"
"404-0634562-6553167";"AMAZON";"PDVF21/000796";"LPNHE508598627";"000163";"AMAZON PAX IT";
"303-1890878-3264349";"AMAZON";"PDVF21/000987";"LPNHE510389987";"000193";"AMAZON PAX DE";
"171-2156463-0850731";"AMAZON";"PDVF21/001547";"LPNHE511145308";"000222";"AMAZON PAX FR";
"303-0195689-7933164";"AMAZON";"PDVF21/000988";"LPNHE511255159";"000193";"AMAZON PAX DE";
"404-0424240-3452348";"AMAZON";"DSR21000658";"LPNHE514729150";"000222";"AMAZON PAX FR";"PX-P3D2451"
"404-0424240-3452348";"AMAZON";"PDVF21/000863";"LPNHE514729150";"000222";"AMAZON PAX FR";
"306-4017283-1840312";"AMAZON";"DSR21000703";"LPNHE514788890";"000193";"AMAZON PAX DE";"PX-P3D2451"
"306-4017283-1840312";"AMAZON";"PDVF21/000854";"LPNHE514788890";"000193";"AMAZON PAX DE";
"405-6278034-2377940";"AMAZON";"DSR21000709";"LPNHE514980348";"000163";"AMAZON PAX IT";"PX-P3D2455"
"405-6278034-2377940";"AMAZON";"PDVF21/000812";"LPNHE514980348";"000163";"AMAZON PAX IT";
"406-4021726-7796366";"AMAZON";"DSR21000700";"LPNHE515231391";"000163";"AMAZON PAX IT";"PX-P3D2449"
"406-4021726-7796366";"AMAZON";"PDVF21/000859";"LPNHE515231391";"000163";"AMAZON PAX IT";
"402-2767160-0300330";"AMAZON";"DSR21001059";"LPNHE516249012";"000163";"AMAZON PAX IT";"PX-P3D2045"
"402-2767160-0300330";"AMAZON";"PDVF21/000750";"LPNHE516249012";"000163";"AMAZON PAX IT";
"404-0569973-3088331";"AMAZON";"DSR21000693";"LPNHE516534629";"000222";"AMAZON PAX FR";"PX-P2A1017"
"404-0569973-3088331";"AMAZON";"PDVF21/000821";"LPNHE516534629";"000222";"AMAZON PAX FR";
"408-0914501-4844304";"AMAZON";"DSR21000698";"LPNHE516625472";"000163";"AMAZON PAX IT";"PX-P2D2077"
"408-0914501-4844304";"AMAZON";"PDVF21/000842";"LPNHE516625472";"000163";"AMAZON PAX IT";
"404-9736913-9689151";"AMAZON";"DSR21000714";"LPNHE516896413";"000163";"AMAZON PAX IT";"PX-P3D2449"
"404-9736913-9689151";"AMAZON";"PDVF21/000846";"LPNHE516896413";"000163";"AMAZON PAX IT";
"171-1578739-3873146";"AMAZON";"DSR21001065";"LPNHE516978247";"000163";"AMAZON PAX IT";"PX-P2A1737"
"171-1578739-3873146";"AMAZON";"PDVF21/000908";"LPNHE516978247";"000163";"AMAZON PAX IT";
"404-3989926-5407555";"AMAZON";"DSR21000657";"LPNHE518274553";"000222";"AMAZON PAX FR";"PX-P3D2051"
"404-3989926-5407555";"AMAZON";"PDVF21/000881";"LPNHE518274553";"000222";"AMAZON PAX FR";
"304-8004921-7786733";"AMAZON";"DSR21000663";"LPNHE518356130";"000193";"AMAZON PAX DE";"X-SKV4110GL"
"304-8004921-7786733";"AMAZON";"PDVF21/000880";"LPNHE518356130";"000193";"AMAZON PAX DE";
"171-1923530-5763534";"AMAZON";"DSR21000705";"LPNHE519477900";"000163";"AMAZON PAX IT";"PX-P3D2045"
"171-1923530-5763534";"AMAZON";"PDVF21/000828";"LPNHE519477900";"000163";"AMAZON PAX IT";
"408-5470376-1957144";"AMAZON";"PDVF21/000981";"LPNHE519549212";"000163";"AMAZON PAX IT";
"304-8242910-0276326";"AMAZON";"DSR21000656";"LPNHE519821316";"000193";"AMAZON PAX DE";"PX-P3D2053"
"304-8242910-0276326";"AMAZON";"PDVF21/000875";"LPNHE519821316";"000193";"AMAZON PAX DE";
"405-0338104-5694726";"AMAZON";"PDVF21/001151";"LPNHE520878470";"000230";"AMAZON PAX ES";
"403-5905423-5982746";"AMAZON";"PDVF21/001039";"LPNHE521295142";"000163";"AMAZON PAX IT";
"404-6151994-5991531";"AMAZON";"DSR21000711";"LPNHE522392659";"000222";"AMAZON PAX FR";"PX-P3D2453"
"404-6151994-5991531";"AMAZON";"PDVF21/000896";"LPNHE522392659";"000222";"AMAZON PAX FR";
"405-7717691-2523520";"AMAZON";"PDVF21/000983";"LPNHE523118201";"000163";"AMAZON PAX IT";
"407-9825255-6907568";"AMAZON";"PDVF21/000980";"LPNHE523279211";"000163";"AMAZON PAX IT";
"305-2432726-4937943";"AMAZON";"DSR21000710";"LPNHE523345653";"000193";"AMAZON PAX DE";"PX-P3D2045"
"305-2432726-4937943";"AMAZON";"PDVF21/000909";"LPNHE523345653";"000193";"AMAZON PAX DE";
"407-8107195-8385167";"AMAZON";"PDVF21/001043";"LPNHE523382436";"000163";"AMAZON PAX IT";
"402-1334643-7732321";"AMAZON";"PDVF21/000989";"LPNHE524802058";"000230";"AMAZON PAX ES";
"403-6239110-9998760";"AMAZON";"PDVF21/000986";"LPNHE525543051";"000163";"AMAZON PAX IT";
"408-2036823-4049914";"AMAZON";"DSRF21000328";"LPNHE527558619";"000230";"AMAZON PAX ES";"SNS-ROAM1R21"
"408-2036823-4049914";"AMAZON";"PDVF21/001705";"LPNHE527558619";"000230";"AMAZON PAX ES";
"403-3593695-7134745";"AMAZON";"DSRF21000250";"LPNHE527558944";"000230";"AMAZON PAX ES";"SNS-ONEG2EU1BLK"
"403-3593695-7134745";"AMAZON";"PDVF21/001687";"LPNHE527558944";"000230";"AMAZON PAX ES";
"403-8179433-0512339";"AMAZON";"DSR21000701";"LPNHE527614318";"000222";"AMAZON PAX FR";"PX-P3D2045"
"403-8179433-0512339";"AMAZON";"PDVF21/000822";"LPNHE527614318";"000222";"AMAZON PAX FR";
"406-6434199-3852365";"AMAZON";"DSR21000715";"LPNHE527704846";"000163";"AMAZON PAX IT";"PX-P3D2451"
"406-6434199-3852365";"AMAZON";"PDVF21/000840";"LPNHE527704846";"000163";"AMAZON PAX IT";
"403-6969569-2661952";"AMAZON";"DSRF21000266";"LPNHE527768539";"000230";"AMAZON PAX ES";"PX-P2D2077"
"403-6969569-2661952";"AMAZON";"PDVF21/001715";"LPNHE527768539";"000230";"AMAZON PAX ES";
"407-1979135-8850726";"AMAZON";"DSR21000717";"LPNHE527920089";"000222";"AMAZON PAX FR";"PX-P3D2052"
"407-1979135-8850726";"AMAZON";"PDVF21/000833";"LPNHE527920089";"000222";"AMAZON PAX FR";
"407-6641804-1316334";"AMAZON";"DSR21000659";"LPNHE528125253";"000163";"AMAZON PAX IT";"PX-P3D2455"
"407-6641804-1316334";"AMAZON";"PDVF21/000874";"LPNHE528125253";"000163";"AMAZON PAX IT";
"028-7843413-2653145";"AMAZON";"DSR21001040";"LPNHE529999397";"000193";"AMAZON PAX DE";"X-MS2000-4"
"028-7843413-2653145";"AMAZON";"PDVF21/000835";"LPNHE529999397";"000193";"AMAZON PAX DE";
"405-6249902-9925939";"AMAZON";"DSR21000716";"LPNHE530206124";"000163";"AMAZON PAX IT";"PX-P3D2052"
"405-6249902-9925939";"AMAZON";"PDVF21/000843";"LPNHE530206124";"000163";"AMAZON PAX IT";
"305-2604769-6889161";"AMAZON";"DSR21000702";"LPNHE531372599";"000193";"AMAZON PAX DE";"PX-P3D2052"
"305-2604769-6889161";"AMAZON";"PDVF21/000864";"LPNHE531372599";"000193";"AMAZON PAX DE";
"403-8588485-0716348";"AMAZON";"DSR21000708";"LPNHE531380661";"000163";"AMAZON PAX IT";"PX-P3D2454"
"403-8588485-0716348";"AMAZON";"PDVF21/000862";"LPNHE531380661";"000163";"AMAZON PAX IT";
"405-6266789-6233902";"AMAZON";"PDVF21/000984";"LPNHE531741448";"000163";"AMAZON PAX IT";
"171-7197014-2673960";"AMAZON";"DSR21000133";"LPNHE531795347";"000163";"AMAZON PAX IT";"PX-P3D2449"
"171-7197014-2673960";"AMAZON";"DSR21000791";"LPNHE531795347";"000163";"AMAZON PAX IT";"PX-P3D2449"
"405-7176112-7026735";"AMAZON";"DSR21000706";"LPNHE533301959";"000222";"AMAZON PAX FR";"PX-P3D2045"
"405-7176112-7026735";"AMAZON";"PDVF21/000773";"LPNHE533301959";"000222";"AMAZON PAX FR";
"406-1761452-5042712";"AMAZON";"DSR21001046";"LPNHE535067288";"000222";"AMAZON PAX FR";"PX-P3D2453"
"406-1761452-5042712";"AMAZON";"PDVF21/000794";"LPNHE535067288";"000222";"AMAZON PAX FR";
"403-6857740-8163510";"AMAZON";"DSR21001049";"LPNHE535300225";"000163";"AMAZON PAX IT";"PX-P3D2449"
"403-6857740-8163510";"AMAZON";"PDVF21/000795";"LPNHE535300225";"000163";"AMAZON PAX IT";
"407-9601771-6335503";"AMAZON";"DSR21001052";"LPNHE535653802";"000163";"AMAZON PAX IT";"PX-P2D2077"
"407-9601771-6335503";"AMAZON";"PDVF21/000952";"LPNHE535653802";"000163";"AMAZON PAX IT";
"171-2225362-9396330";"AMAZON";"DSR21001058";"LPNHE535953218";"000163";"AMAZON PAX IT";"PX-P3D2045"
"171-2225362-9396330";"AMAZON";"PDVF21/000938";"LPNHE535953218";"000163";"AMAZON PAX IT";
"402-0782267-0775550";"AMAZON";"DSR21000718";"LPNHE535968562";"000163";"AMAZON PAX IT";"PX-P3D2449"
"402-0782267-0775550";"AMAZON";"PDVF21/000775";"LPNHE535968562";"000163";"AMAZON PAX IT";
"171-7655798-7292337";"AMAZON";"DSR21001013";"LPNHE536049432";"000163";"AMAZON PAX IT";"PX-P3D2451"
"171-7655798-7292337";"AMAZON";"PDVF21/000731";"LPNHE536049432";"000163";"AMAZON PAX IT";
"405-7506230-2400320";"AMAZON";"DSR21001055";"LPNHE536491908";"000163";"AMAZON PAX IT";"PX-P2D2077"
"405-7506230-2400320";"AMAZON";"PDVF21/000961";"LPNHE536491908";"000163";"AMAZON PAX IT";
"404-2937752-5201154";"AMAZON";"DSR21001057";"LPNHE536652122";"000163";"AMAZON PAX IT";"PX-P3D2453"
"404-2937752-5201154";"AMAZON";"PDVF21/000791";"LPNHE536652122";"000163";"AMAZON PAX IT";
"304-7027542-7959537";"AMAZON";"DSR21000880";"LPNHE536740281";"000193";"AMAZON PAX DE";"PX-P3D2043"
"304-7027542-7959537";"AMAZON";"PDVF21/000779";"LPNHE536740281";"000193";"AMAZON PAX DE";
"404-0656756-7597956";"AMAZON";"DSR21001043";"LPNHE536772705";"000163";"AMAZON PAX IT";"PX-P2D2077"
"404-0656756-7597956";"AMAZON";"PDVF21/000936";"LPNHE536772705";"000163";"AMAZON PAX IT";
"303-2777552-8138725";"AMAZON";"DSR21001010";"LPNHE536899008";"000193";"AMAZON PAX DE";"PX-P3D2052"
"303-2777552-8138725";"AMAZON";"PDVF21/000787";"LPNHE536899008";"000193";"AMAZON PAX DE";
"407-7581242-7785914";"AMAZON";"DSR21000881";"LPNHE537542639";"000163";"AMAZON PAX IT";"PX-P3D2045"
"407-7581242-7785914";"AMAZON";"PDVF21/000790";"LPNHE537542639";"000163";"AMAZON PAX IT";
"171-9984202-5188338";"AMAZON";"DSR21001012";"LPNHE538190482";"000163";"AMAZON PAX IT";"PX-P3D2449"
"171-9984202-5188338";"AMAZON";"PDVF21/000943";"LPNHE538190482";"000163";"AMAZON PAX IT";
"405-2359676-3537128";"AMAZON";"DSR21001023";"LPNHE538855967";"000163";"AMAZON PAX IT";"PX-P3D2449"
"405-2359676-3537128";"AMAZON";"PDVF21/000926";"LPNHE538855967";"000163";"AMAZON PAX IT";
"402-0115898-4543517";"AMAZON";"DSR21001044";"LPNHE538964555";"000163";"AMAZON PAX IT";"PX-P2D2077"
"402-0115898-4543517";"AMAZON";"PDVF21/001007";"LPNHE538964555";"000163";"AMAZON PAX IT";
"171-9686573-8288361";"AMAZON";"DSR21001054";"LPNHE540605260";"000163";"AMAZON PAX IT";"PX-P2D2077"
"171-9686573-8288361";"AMAZON";"PDVF21/000968";"LPNHE540605260";"000163";"AMAZON PAX IT";
"171-2566323-8349100";"AMAZON";"DSR21001053";"LPNHE540955756";"000222";"AMAZON PAX FR";"PX-P2D2077"
"171-2566323-8349100";"AMAZON";"PDVF21/000958";"LPNHE540955756";"000222";"AMAZON PAX FR";
"408-3323408-4791546";"AMAZON";"DSR21001048";"LPNHE541179342";"000163";"AMAZON PAX IT";"PX-P3D2449"
"408-3323408-4791546";"AMAZON";"PDVF21/000939";"LPNHE541179342";"000163";"AMAZON PAX IT";
"028-4239540-8363545";"AMAZON";"DSR21001032";"LPNHE544752181";"000193";"AMAZON PAX DE";"PX-P3D2449"
"028-4239540-8363545";"AMAZON";"PDVF21/000762";"LPNHE544752181";"000193";"AMAZON PAX DE";
"028-4239540-8363545";"AMAZON";"DSR21001033";"LPNHE544752182";"000193";"AMAZON PAX DE";"PX-P3D2449"
"028-4239540-8363545";"AMAZON";"PDVF21/000763";"LPNHE544752182";"000193";"AMAZON PAX DE";
"171-8429464-8968350";"AMAZON";"DSR21001024";"LPNHE545367903";"000222";"AMAZON PAX FR";"PX-P3D2045"
"171-8429464-8968350";"AMAZON";"PDVF21/000931";"LPNHE545367903";"000222";"AMAZON PAX FR";
"402-2324176-6493101";"AMAZON";"DSR21001045";"LPNHE545428837";"000163";"AMAZON PAX IT";"PX-P3D2453"
"402-2324176-6493101";"AMAZON";"PDVF21/000940";"LPNHE545428837";"000163";"AMAZON PAX IT";
"406-3309954-7324305";"AMAZON";"DSR21001194";"LPNHE546453221";"000222";"AMAZON PAX FR";"PX-P2A1740"
"406-3309954-7324305";"AMAZON";"PDVF21/001220";"LPNHE546453221";"000222";"AMAZON PAX FR";
"304-3822906-2825109";"AMAZON";"DSR21001195";"LPNHE546940825";"000193";"AMAZON PAX DE";"PX-P2D2077"
"304-3822906-2825109";"AMAZON";"PDVF21/001223";"LPNHE546940825";"000193";"AMAZON PAX DE";
"406-2882972-6673120";"AMAZON";"DSRF21000031";"LPNHE548709187";"000163";"AMAZON PAX IT";"PX-P3D2450"
"406-2882972-6673120";"AMAZON";"PDVF21/001344";"LPNHE548709187";"000163";"AMAZON PAX IT";
"403-2609494-7520342";"AMAZON";"DSRF21000264";"LPNHE548713027";"000163";"AMAZON PAX IT";"PX-P2D2077"
"403-2609494-7520342";"AMAZON";"PDVF21/001384";"LPNHE548713027";"000163";"AMAZON PAX IT";
"403-5226363-0552300";"AMAZON";"DSR21001041";"LPNHE548939650";"000163";"AMAZON PAX IT";"PX-P3D2451"
"403-5226363-0552300";"AMAZON";"PDVF21/000928";"LPNHE548939650";"000163";"AMAZON PAX IT";
"405-5585921-3144336";"AMAZON";"DSR21001015";"LPNHE549135200";"000163";"AMAZON PAX IT";"PX-P3D2449"
"405-5585921-3144336";"AMAZON";"PDVF21/000923";"LPNHE549135200";"000163";"AMAZON PAX IT";
"028-6088564-3133960";"AMAZON";"DSR21001016";"LPNHE549482311";"000193";"AMAZON PAX DE";"PX-P3D2045"
"028-6088564-3133960";"AMAZON";"PDVF21/000768";"LPNHE549482311";"000193";"AMAZON PAX DE";
"404-9452972-2432308";"AMAZON";"DSR21001039";"LPNHE551442531";"000163";"AMAZON PAX IT";"PX-P3D2449"
"404-9452972-2432308";"AMAZON";"PDVF21/001027";"LPNHE551442531";"000163";"AMAZON PAX IT";
"403-5031871-7980303";"AMAZON";"DSR21001037";"LPNHE551666582";"000222";"AMAZON PAX FR";"PX-P3D2043"
"403-5031871-7980303";"AMAZON";"PDVF21/001013";"LPNHE551666582";"000222";"AMAZON PAX FR";
"405-1153833-3246734";"AMAZON";"DSR21001036";"LPNHE551731586";"000163";"AMAZON PAX IT";"PX-P3D2052"
"405-1153833-3246734";"AMAZON";"PDVF21/001031";"LPNHE551731586";"000163";"AMAZON PAX IT";
"405-0096260-7909927";"AMAZON";"DSR21001035";"LPNHE551740087";"000163";"AMAZON PAX IT";"PX-P3D2051"
"405-0096260-7909927";"AMAZON";"PDVF21/001030";"LPNHE551740087";"000163";"AMAZON PAX IT";
"408-7616448-6584360";"AMAZON";"DSR21001066";"LPNHE551784503";"000222";"AMAZON PAX FR";"PX-P2A1738"
"408-7616448-6584360";"AMAZON";"PDVF21/001016";"LPNHE551784503";"000222";"AMAZON PAX FR";
"404-0470560-9923561";"AMAZON";"DSR21001179";"LPNHE551978120";"000163";"AMAZON PAX IT";"X-RSD0177CE"
"404-0470560-9923561";"AMAZON";"PDVF21/001302";"LPNHE551978120";"000163";"AMAZON PAX IT";
"406-1266002-2349919";"AMAZON";"DSR21001022";"LPNHE552084442";"000163";"AMAZON PAX IT";"PX-P3D2451"
"406-1266002-2349919";"AMAZON";"PDVF21/001017";"LPNHE552084442";"000163";"AMAZON PAX IT";
"402-5559577-6534722";"AMAZON";"DSR21001034";"LPNHE552191238";"000222";"AMAZON PAX FR";"PX-P3D2052"
"402-5559577-6534722";"AMAZON";"PDVF21/001029";"LPNHE552191238";"000222";"AMAZON PAX FR";
"406-2341777-3282729";"AMAZON";"DSR21001042";"LPNHE552735332";"000163";"AMAZON PAX IT";"PX-P3D2451"
"406-2341777-3282729";"AMAZON";"PDVF21/001077";"LPNHE552735332";"000163";"AMAZON PAX IT";
"408-6771781-2721162";"AMAZON";"DSRF21000055";"LPNHE553015737";"000230";"AMAZON PAX ES";"SNS-ROAM1R21BLK"
"408-6771781-2721162";"AMAZON";"PDVF21/001219";"LPNHE553015737";"000230";"AMAZON PAX ES";
"408-0655230-8272323";"AMAZON";"DSRF21000289";"LPNHE553089724";"000230";"AMAZON PAX ES";"SNS-ROAM1R21"
"408-0655230-8272323";"AMAZON";"PDVF21/001555";"LPNHE553089724";"000230";"AMAZON PAX ES";
"406-8206847-8122747";"AMAZON";"DSRF21000307";"LPNHE553092966";"000230";"AMAZON PAX ES";"SNS-ONEG2EU1"
"406-8206847-8122747";"AMAZON";"PDVF21/001744";"LPNHE553092966";"000230";"AMAZON PAX ES";
"404-4292313-7782739";"AMAZON";"DSRF21000303";"LPNHE553093053";"000230";"AMAZON PAX ES";"SNS-ROAM1R21"
"404-4292313-7782739";"AMAZON";"PDVF21/001743";"LPNHE553093053";"000230";"AMAZON PAX ES";
"171-4338858-8388305";"AMAZON";"DSRF21000299";"LPNHE553093107";"000230";"AMAZON PAX ES";"SNS-ROAM1R21BLK"
"171-4338858-8388305";"AMAZON";"PDVF21/001740";"LPNHE553093107";"000230";"AMAZON PAX ES";
"407-7368906-1881163";"AMAZON";"DSRF21000044";"LPNHE553104146";"000230";"AMAZON PAX ES";"SNS-ROAM1R21"
