"Node root";"Node ID";"Node Path";"Node Id in UK";"Node Id in DE";"Node Id in FR";"Node Id in ES"
"it-apparel";1806475031;"/Categorie/Prima infanzia/Bambino 0-24/Intimo/Mutandine";1730693031;1981062031;2308678031;1909375031
"it-apparel";1806476031;"/Categorie/Prima infanzia/Bambino 0-24/Intimo/Coordinati";1730690031;1981059031;465081031;1909376031
"it-apparel";1806477031;"/Categorie/Prima infanzia/Bambino 0-24/Intimo/Mutandine-pannolino";1730691031;1981060031;465080031;1909377031
"it-apparel";1806478031;"/Categorie/Prima infanzia/Bambino 0-24/Intimo/Canottiere";1730692031;1981061031;465079031;1909378031
"it-apparel";1806481031;"/Categorie/Prima infanzia/Bambina 0-24/Accessori/Guanti e manopole";1730696031;1981065031;514765031;1909381031
"it-apparel";1806482031;"/Categorie/Prima infanzia/Bambina 0-24/Accessori/Berretti e cappellini";1730697031;1981066031;514764031;1909382031
"it-apparel";1806483031;"/Categorie/Prima infanzia/Bambina 0-24/Accessori/Fazzoletti da collo";1730698031;1981067031;2308666031;1909383031
"it-apparel";1806484031;"/Categorie/Prima infanzia/Bambina 0-24/Accessori/Sciarpe";1730699031;1981068031;2308667031;1909384031
"it-apparel";1806485031;"/Categorie/Prima infanzia/Bambina 0-24/Accessori/Occhiali da sole";1730700031;1981069031;514766031;1909385031
"it-apparel";1806487031;"/Categorie/Prima infanzia/Bambina 0-24/Tutine e body/Body";1730702031;1981071031;465038031;1909387031
"it-apparel";1806488031;"/Categorie/Prima infanzia/Bambina 0-24/Tutine e body/Tutine";1730703031;1981072031;465039031;1909388031
"it-apparel";1806489031;"/Categorie/Prima infanzia/Bambina 0-24/Tutine e body/Pagliaccetti";1730704031;1981073031;465040031;1909389031
"it-apparel";1806490031;"/Categorie/Prima infanzia/Bambina 0-24/Abiti da battesimo";1730705031;1981074031;2308670031;1909390031
"it-apparel";1806491031;"/Categorie/Prima infanzia/Bambina 0-24/Abitini";1730706031;1981075031;464990031;1909391031
"it-apparel";1806493031;"/Categorie/Prima infanzia/Bambina 0-24/Felpe e tute/Pantaloni sportivi";1730708031;1981077031;465001031;2949306031
"it-apparel";1806494031;"/Categorie/Prima infanzia/Bambina 0-24/Felpe e tute/Felpe con cappuccio";1730709031;1981078031;464998031;2949307031
"it-apparel";1806495031;"/Categorie/Prima infanzia/Bambina 0-24/Felpe e tute/Completini sportivi";1730710031;1981079031;465002031;2949308031
"it-apparel";1806496031;"/Categorie/Prima infanzia/Bambina 0-24/Felpe e tute/Felpe";1730711031;1981080031;464999031;2949309031
"it-apparel";1806497031;"/Categorie/Prima infanzia/Bambina 0-24/Felpe e tute/Tute";1730712031;1981081031;465000031;2949310031
"it-apparel";1806498031;"/Categorie/Prima infanzia/Bambina 0-24/Jeans";1730713031;1981082031;465003031;1909398031
"it-apparel";1806499031;"/Categorie/Prima infanzia/Bambina 0-24/Maglieria";1730714031;1981083031;464996031;1909399031
"it-apparel";1806500031;"/Categorie/Prima infanzia/Bambina 0-24/Leggings";1730739031;1981108031;2308668031;1909400031
"it-apparel";1806502031;"/Categorie/Prima infanzia/Bambina 0-24/Capispalla e Tutone/Cappotti e giacche";1730716031;1981085031;465012031;1909402031
"it-apparel";1806503031;"/Categorie/Prima infanzia/Bambina 0-24/Capispalla e Tutone/Gilet";1730717031;1981086031;523904031;1909403031
"it-apparel";1806505031;"/Categorie/Prima infanzia/Bambina 0-24/Salopette";1730719031;1981088031;465004031;1909405031
"it-apparel";1806506031;"/Categorie/Prima infanzia/Bambina 0-24/Pantaloncini";1730720031;1981089031;465006031;1909406031
