"General category";"Product Type"
"Consumer Electronics";"ConsumerElectronics"
"Consumer Electronics";"Copier"
"Consumer Electronics";"CordManagementCover"
"Consumer Electronics";"DecorativeSignage"
"Consumer Electronics";"DigitalPictureFrame"
"Consumer Electronics";"DigitalVideoRecorder"
"Consumer Electronics";"DipSwitch"
"Consumer Electronics";"DVDPlayerOrRecorder"
"Consumer Electronics";"ElectronicAdapter"
"Consumer Electronics";"ElectronicBookReader"
"Consumer Electronics";"ElectronicDeviceCoolingPad"
"Consumer Electronics";"ElectronicDeviceDockingStation"
"Consumer Electronics";"ElectronicDeviceFaceplate"
"Consumer Electronics";"ElectronicDeviceSkin"
"Consumer Electronics";"ElectronicFinder"
"Consumer Electronics";"FaxMachine"
"Consumer Electronics";"FlatScreenDisplayMount"
"Consumer Electronics";"GPSOrNavigationAccessory"
"Consumer Electronics";"GPSOrNavigationSystem"
"Consumer Electronics";"GreetingCard"
"Consumer Electronics";"HandheldOrPDA"
"Consumer Electronics";"HardDriveEnclosure"
"Consumer Electronics";"HeadphoneEarpad"
"Consumer Electronics";"Headphones"
"Consumer Electronics";"HomeTheaterSystemOrHTIB"
"Consumer Electronics";"IntegratedStereoSystem"
"Consumer Electronics";"KaraokeMachine"
"Consumer Electronics";"KeyboardMouseSet"
"Consumer Electronics";"Keycap"
"Consumer Electronics";"KindleAccessories"
"Consumer Electronics";"KindleEReaderAccessories"
"Consumer Electronics";"KindleFireAccessories"
"Consumer Electronics";"LandlinePhone"
"Consumer Electronics";"LaserPrinterToner"
"Consumer Electronics";"LocationTracker"
"Consumer Electronics";"MediaPlayer"
"Consumer Electronics";"MediaPlayerOrEReaderAccessory"
"Consumer Electronics";"MediaStorage"
"Consumer Electronics";"MemoryCardReader"
"Consumer Electronics";"Microphone"
"Consumer Electronics";"MiscAudioComponents"
"Consumer Electronics";"Modem"
"Consumer Electronics";"MotionActuatedSwitch"
"Consumer Electronics";"MotionDetectorDevice"
"Consumer Electronics";"MousePad"
"Consumer Electronics";"MusicalInstrumentAmplifier"
"Consumer Electronics";"NetworkAccessory"
"Consumer Electronics";"NetworkAdapter"
"Consumer Electronics";"NetworkInterfaceControllerAdapter"
"Consumer Electronics";"NetworkSwitch"
"Consumer Electronics";"OnboardCamera"
"Consumer Electronics";"PaSystem"
"Consumer Electronics";"PC"
"Consumer Electronics";"PDA"
"Consumer Electronics";"Phone"
"Consumer Electronics";"PhoneAccessory"
"Consumer Electronics";"PhotographicStudioItems"
"Consumer Electronics";"Planner"
"Consumer Electronics";"PortableAudio"
"Consumer Electronics";"PortableAvDevice"
"Consumer Electronics";"PortableElectronicDeviceArmband"
"Consumer Electronics";"PortableElectronicDeviceStand"
"Consumer Electronics";"PortableVideoDiscPlayer"
"Consumer Electronics";"PowerBank"
"Consumer Electronics";"PowerConverter"
"Consumer Electronics";"PowerCord"
"Consumer Electronics";"PowerInverter"
"Consumer Electronics";"PowerStrip"
"Consumer Electronics";"PowerSuppliesOrProtection"
"Consumer Electronics";"ProjectionScreen"
"Consumer Electronics";"RadarDetector"
"Consumer Electronics";"RadioOrClockRadio"
"Consumer Electronics";"ReceiverOrAmplifier"
"Consumer Electronics";"RemoteControl"
"Consumer Electronics";"SatelliteReceiver"
"Consumer Electronics";"ScreenProtector"
"Consumer Electronics";"SecuritySystem"
"Consumer Electronics";"Signage"
"Consumer Electronics";"SimCard"
"Consumer Electronics";"SingleBoardComputer"
"Consumer Electronics";"SpeakerAmplifierStand"
"Consumer Electronics";"Speakers"
"Consumer Electronics";"StandaloneStreamingMediaPlayer"
"Consumer Electronics";"StereoShelfSystem"
"Consumer Electronics";"Television"
"Consumer Electronics";"ThreeDPrinter"
"Consumer Electronics";"ToggleSwitch"
"Consumer Electronics";"Tuner"
"Consumer Electronics";"Turntable"
"Consumer Electronics";"TVCombos"
"Consumer Electronics";"TvTunerCard"
"Consumer Electronics";"TwoWayRadio"
"Consumer Electronics";"VCR"
"Consumer Electronics";"VehicleSafetyCamera"
"Consumer Electronics";"VideoDiscPlayer"
"Consumer Electronics";"VideoProjectorsAndAccessories"
"Consumer Electronics";"VirtualRealityHeadset"
"Consumer Electronics";"WearableComputer"
"Consumer Electronics";"WirelessAudioAdapter"
"Consumer Electronics";"WirelessSignalRepeater"
"Grocery and Gourmet";"AlcoholicBeverages"
"Grocery and Gourmet";"BabyFood"
"Grocery and Gourmet";"BabyFormula"
"Grocery and Gourmet";"BakingChocolate"
"Grocery and Gourmet";"BakingMix"
"Grocery and Gourmet";"Beer"
"Grocery and Gourmet";"Beverages"
"Grocery and Gourmet";"Bread"
"Grocery and Gourmet";"BreadBakeryProduct"
"Grocery and Gourmet";"BreakfastCereal"
"Grocery and Gourmet";"Cake"
"Grocery and Gourmet";"Candy"
"Grocery and Gourmet";"Cereal"
"Grocery and Gourmet";"CerealAndGrainAndPulseMinimallyProcessed"
"Grocery and Gourmet";"CerealAndGrainAndPulseProcessed"
"Grocery and Gourmet";"CerealAndGrainAndPulseProduct"
"Grocery and Gourmet";"CerealBar"
"Grocery and Gourmet";"ChewingGum"
"Grocery and Gourmet";"ChocolateCandy"
"Grocery and Gourmet";"CocktailMix"
"Grocery and Gourmet";"Coffee"
"Grocery and Gourmet";"ConcentratedFlavoringSubstance"
"Grocery and Gourmet";"Condiment"
"Grocery and Gourmet";"Cookie"
"Grocery and Gourmet";"Cracker"
"Grocery and Gourmet";"CulinarySalt"
"Grocery and Gourmet";"DairyBasedButter"
"Grocery and Gourmet";"DairyBasedCheese"
"Grocery and Gourmet";"DairyBasedCream"
"Grocery and Gourmet";"DairyBasedDrink"
"Grocery and Gourmet";"DairyBasedFood"
"Grocery and Gourmet";"DairyBasedIceCream"
"Grocery and Gourmet";"DairyBasedPudding"
"Grocery and Gourmet";"DairyBasedYogurt"
"Grocery and Gourmet";"DairyFoodSubstitute"
"Grocery and Gourmet";"Donut"
"Grocery and Gourmet";"DrinkFlavored"
"Grocery and Gourmet";"EdibleOilAnimal"
"Grocery and Gourmet";"EdibleOilVegetable"
"Grocery and Gourmet";"Egg"
"Grocery and Gourmet";"Fish"
"Grocery and Gourmet";"FishProcessed"
"Grocery and Gourmet";"FlavoredDrinkConcentrate"
"Grocery and Gourmet";"Flour"
"Grocery and Gourmet";"Food"
