"Node root";"Node ID";"Node Path";"Node Id in UK";"Node Id in DE";"Node Id in IT";"Node Id in ES"
"fr-apparel";464698031;"/Catégories/Femme/Chaussettes et collants/Protège-pieds et socquettes";1731479031;1981849031;2893119031;3074247031
"fr-apparel";464700031;"/Catégories/Femme/Vêtements de nuit/Hauts de pyjama";1731461031;1981831031;2893155031;3074301031
"fr-apparel";464701031;"/Catégories/Femme/Vêtements de nuit/Bas de pyjama";1731456031;1981826031;2893157031;3074304031
"fr-apparel";464702031;"/Catégories/Femme/Vêtements de nuit/Ensembles de pyjama";1731460031;1981830031;2893158031;3074305031
"fr-apparel";464703031;"/Catégories/Femme/Vêtements de nuit/Robes de chambre et kimonos";1731457031;1981827031;2893159031;3074300031
"fr-apparel";464704031;"/Catégories/Femme/Lingerie/Sous-vêtements thermiques/Hauts thermiques";1731403031;1981773031;2893411031;3074660031
"fr-apparel";464705031;"/Catégories/Femme/Lingerie/Sous-vêtements thermiques/Bas thermiques";1731401031;1981771031;2893410031;3074662031
"fr-apparel";464706031;"/Catégories/Femme/Lingerie/Sous-vêtements thermiques/Ensembles thermiques";1731402031;1981772031;2893409031;3074661031
"fr-apparel";464707031;"/Catégories/Femme/Vêtements de nuit/Grenouillères";1731459031;1981829031;2893156031;3074303031
"fr-apparel";464708031;"/Catégories/Femme/Vêtements de nuit/Chemises de nuit";1731458031;1981828031;2893154031;3074302031
"fr-apparel";464711031;"/Catégories/Femme/Lingerie/Soutiens-gorge/Soutiens-gorge de tous les jours";1731375031;1981745031;2893427031;3074659031
"fr-apparel";464713031;"/Catégories/Femme/Vêtements de sport/Sous-vêtements de sport/Soutiens-gorge de sport";1731339031;1981709031;3841306031;2949398031
"fr-apparel";464715031;"/Catégories/Femme/Lingerie/Culottes/Strings et tangas";1731384031;1981754031;2893430031;3074649031
"fr-apparel";464716031;"/Catégories/Femme/Lingerie/Culottes/Bikinis";1731381031;1981751031;2893428031;3074642031
"fr-apparel";464717031;"/Catégories/Femme/Lingerie/Culottes/Slips";1731383031;1981753031;2893432031;3074644031
"fr-apparel";464718031;"/Catégories/Femme/Lingerie/Culottes/Caleçons";1731382031;1981752031;2893429031;3074645031
"fr-apparel";464719031;"/Catégories/Femme/Lingerie/Culottes/Shorties";1731385031;1981755031;2893431031;3074643031
"fr-apparel";464721031;"/Catégories/Femme/Lingerie/Lingerie sculptante/Culottes sculptantes";1731389031;1981759031;2893423031;3074653031
"fr-apparel";464722031;"/Catégories/Femme/Lingerie/Lingerie sculptante/Collants sculptants";1731393031;1981763031;2893420031;3074657031
"fr-apparel";464723031;"/Catégories/Femme/Lingerie/Lingerie sculptante/Hauts sculptants";1731394031;1981764031;2893422031;3074654031
"fr-apparel";464724031;"/Catégories/Femme/Lingerie/Lingerie sculptante/Serres-taille";1731395031;1981765031;2893419031;3074655031
"fr-apparel";464725031;"/Catégories/Femme/Lingerie/Lingerie sculptante/Bodys";1731388031;1981758031;2893418031;3074650031
"fr-apparel";464726031;"/Catégories/Femme/Lingerie/Lingerie sculptante/Combinaisons sculptantes";1731390031;1981760031;2893425031;3074651031
"fr-apparel";464727031;"/Catégories/Femme/Lingerie/Lingerie sculptante/Jupes sculptantes";1731391031;1981761031;2893424031;3074652031
"fr-apparel";464729031;"/Catégories/Femme/Lingerie/Combinaisons et jupons/Combinaisons";1731397031;1981767031;2893435031;3074647031
"fr-apparel";464730031;"/Catégories/Femme/Lingerie/Combinaisons et jupons/Jupons";1731398031;1981768031;2893433031;3074646031
"fr-apparel";464731031;"/Catégories/Femme/Lingerie/Combinaisons et jupons/Bermudas taille haute";1731399031;1981769031;2893434031;3074648031
"fr-apparel";464732031;"/Catégories/Femme/Lingerie/Caracos";1731377031;1981747031;2893131031;3074264031
"fr-apparel";464734031;"/Catégories/Femme/Lingerie/Bustiers et corsets";1731376031;1981746031;2893129031;3074266031
"fr-apparel";464735031;"/Catégories/Femme/Lingerie/Nuisettes babydolls";1731371031;1981741031;2893127031;3074269031
"fr-apparel";464736031;"/Catégories/Femme/Lingerie/Déshabillés";1731378031;1981748031;2893137031;3074263031
"fr-apparel";464737031;"/Catégories/Femme/Lingerie/Jarretières";1731379031;1981749031;2893132031;3074268031
"fr-apparel";464738031;"/Catégories/Femme/Lingerie/Bodys";1731372031;1981742031;2893128031;3074260031
"fr-apparel";464739031;"/Catégories/Femme/Lingerie/Ensembles de lingerie";1731386031;1981756031;2893130031;3074265031
"fr-apparel";464741031;"/Catégories/Femme/Lingerie/Soutiens-gorge/Soutiens-gorge autoadhésifs";1731374031;1981744031;2893426031;3074658031
"fr-apparel";464742031;"/Catégories/Femme/Lingerie/Accessoires/Cache-tétons";1731366031;1981736031;2893414031;3074641031
"fr-apparel";464743031;"/Catégories/Femme/Lingerie/Accessoires/Coques  siliconnées";1731369031;1981739031;2893416031;3074636031
"fr-apparel";464744031;"/Catégories/Femme/Lingerie/Accessoires/Adhésif lingerie";1731368031;1981738031;2893412031;3074638031
"fr-apparel";464745031;"/Catégories/Femme/Lingerie/Accessoires/Porte-jarretelles";1731370031;1981740031;2893417031;3074639031
"fr-apparel";464746031;"/Catégories/Femme/Lingerie/Accessoires/Extensions pour soutien-gorge";1731365031;1981735031;2893415031;3074640031
"fr-apparel";464747031;"/Catégories/Femme/Lingerie/Accessoires/Pochons de lingerie";1731367031;1981737031;2893413031;3074637031
"fr-apparel";464750031;"/Catégories/Femme/Maillots de bain/Maillots une pièce";1731496031;1981866031;3950206031;2949409031
"fr-apparel";464751031;"/Catégories/Femme/Maillots de bain/Tankinis";1731498031;1981868031;3950208031;2949411031
"fr-apparel";464752031;"/Catégories/Femme/Maillots de bain/Maillots deux pièces/Ensembles deux pièces";1731493031;1981863031;3950202031;2949406031
"fr-apparel";464753031;"/Catégories/Femme/Maillots de bain/Cache-maillots et sarongs";1731495031;1981865031;3950205031;2949408031
"fr-apparel";464754031;"/Catégories/Femme/Maillots de bain/Shorts";1731497031;1981867031;3950207031;2949410031
"fr-apparel";464759031;"/Catégories/Femme/Vêtements grossesse et maternité/T-shirts et tops/Débardeurs";1731453031;1981823031;1806611031;1909515031
"fr-apparel";464762031;"/Catégories/Femme/Vêtements grossesse et maternité/Pulls et gilets/Gilets";1731415031;1981785031;1806573031;1909477031
"fr-apparel";464763031;"/Catégories/Femme/Vêtements grossesse et maternité/Pulls et gilets/Pulls";1731417031;1981787031;1806575031;1909479031
"fr-apparel";464764031;"/Catégories/Femme/Vêtements grossesse et maternité/Pulls et gilets/Gilets sans manche";1731416031;1981786031;1806574031;1909478031
"fr-apparel";464765031;"/Catégories/Femme/Vêtements grossesse et maternité/Sweats à capuche";1731412031;1981782031;1806570031;1909474031
"fr-apparel";464768031;"/Catégories/Femme/Vêtements grossesse et maternité/Sweat-shirts";1731438031;1981808031;1806596031;1909500031
"fr-apparel";464769031;"/Catégories/Femme/Vêtements grossesse et maternité/Vêtements de sport/T-shirts et Tops de sport";1731406031;1981776031;1806564031;1909468031
"fr-apparel";464770031;"/Catégories/Femme/Vêtements grossesse et maternité/Vêtements de sport/Pantalons de sport";1731409031;1981779031;1806567031;1909471031
"fr-apparel";464771031;"/Catégories/Femme/Vêtements grossesse et maternité/Vêtements de sport/Shorts de sport";1731407031;1981777031;1806565031;1909469031
"fr-apparel";464772031;"/Catégories/Femme/Vêtements grossesse et maternité/Vêtements de sport/Jupes de sport";1731408031;1981778031;1806566031;1909470031
"fr-apparel";464774031;"/Catégories/Femme/Vêtements grossesse et maternité/Jeans";1731413031;1981783031;1806571031;1909475031
"fr-apparel";464776031;"/Catégories/Femme/Vêtements grossesse et maternité/Leggings";1731419031;1981789031;1806577031;1909481031
"fr-apparel";464777031;"/Catégories/Femme/Vêtements grossesse et maternité/Shorts";1731435031;1981805031;1806593031;1909497031
"fr-apparel";464781031;"/Catégories/Femme/Vêtements grossesse et maternité/Tailleurs";1731437031;1981807031;1806595031;1909499031
"fr-apparel";464783031;"/Catégories/Femme/Vêtements grossesse et maternité/Manteaux et vestes/Manteaux";1731431031;1981801031;1806589031;1909493031
"fr-apparel";464784031;"/Catégories/Femme/Vêtements grossesse et maternité/Manteaux et vestes/Blousons et vestes";1731433031;1981803031;1806591031;1909495031
"fr-apparel";464785031;"/Catégories/Femme/Vêtements grossesse et maternité/Manteaux et vestes/Manteaux sans manche";1731432031;1981802031;1806590031;1909494031
"fr-apparel";464793031;"/Catégories/Femme/Vêtements grossesse et maternité/Vêtements de nuit/Hauts de pyjama";1731429031;1981799031;1806587031;1909491031
"fr-apparel";464794031;"/Catégories/Femme/Vêtements grossesse et maternité/Vêtements de nuit/Bas de pyjama";1731426031;1981796031;1806584031;1909488031
"fr-apparel";464795031;"/Catégories/Femme/Vêtements grossesse et maternité/Vêtements de nuit/Ensembles de pyjama";1731428031;1981798031;1806586031;1909490031
"fr-apparel";464801031;"/Catégories/Femme/Vêtements grossesse et maternité/Maillots de bain/Maillots une pièce";1731445031;1981815031;1806603031;1909507031
"fr-apparel";464802031;"/Catégories/Femme/Vêtements grossesse et maternité/Maillots de bain/Tankinis";1731447031;1981817031;1806605031;1909509031
