"Node root";"Node ID";"Node Path";"Node Id in UK";"Node Id in FR";"Node Id in IT";"Node Id in ES"
"de-apparel";1981055031;"/Kategorien/Baby/Jungen (0 -24 Monate)/Shirts/Tops";1730686031;465049031;1806471031;1909371031
"de-apparel";1981056031;"/Kategorien/Baby/Jungen (0 -24 Monate)/Shirts/T-Shirts";1730687031;465048031;1806472031;1909372031
"de-apparel";1981057031;"/Kategorien/Baby/Jungen (0 -24 Monate)/Hosen";1730688031;465061031;1806473031;1909373031
"de-apparel";1981059031;"/Kategorien/Baby/Jungen (0 -24 Monate)/Unterwäsche/Sets";1730690031;465081031;1806476031;1909376031
"de-apparel";1981060031;"/Kategorien/Baby/Jungen (0 -24 Monate)/Unterwäsche/Trainerhosen";1730691031;465080031;1806477031;1909377031
"de-apparel";1981061031;"/Kategorien/Baby/Jungen (0 -24 Monate)/Unterwäsche/Unterhemden";1730692031;465079031;1806478031;1909378031
"de-apparel";1981062031;"/Kategorien/Baby/Jungen (0 -24 Monate)/Unterwäsche/Unterhosen";1730693031;2308678031;1806475031;1909375031
"de-apparel";1981065031;"/Kategorien/Baby/Mädchen (0 -24 Monate)/Accessoires/Handschuhe & Fäustlinge";1730696031;514765031;1806481031;1909381031
"de-apparel";1981066031;"/Kategorien/Baby/Mädchen (0 -24 Monate)/Accessoires/Hüte & Mützen";1730697031;514764031;1806482031;1909382031
"de-apparel";1981067031;"/Kategorien/Baby/Mädchen (0 -24 Monate)/Accessoires/Halstücher";1730698031;2308666031;1806483031;1909383031
"de-apparel";1981068031;"/Kategorien/Baby/Mädchen (0 -24 Monate)/Accessoires/Schals";1730699031;2308667031;1806484031;1909384031
"de-apparel";1981069031;"/Kategorien/Baby/Mädchen (0 -24 Monate)/Accessoires/Sonnenbrillen";1730700031;514766031;1806485031;1909385031
"de-apparel";1981071031;"/Kategorien/Baby/Mädchen (0 -24 Monate)/Bodys & Einteiler/Bodys";1730702031;465038031;1806487031;1909387031
"de-apparel";1981072031;"/Kategorien/Baby/Mädchen (0 -24 Monate)/Bodys & Einteiler/Strampler";1730703031;465039031;1806488031;1909388031
"de-apparel";1981073031;"/Kategorien/Baby/Mädchen (0 -24 Monate)/Bodys & Einteiler/Spieler";1730704031;465040031;1806489031;1909389031
"de-apparel";1981074031;"/Kategorien/Baby/Mädchen (0 -24 Monate)/Taufbekleidung";1730705031;2308670031;1806490031;1909390031
"de-apparel";1981075031;"/Kategorien/Baby/Mädchen (0 -24 Monate)/Kleider";1730706031;464990031;1806491031;1909391031
"de-apparel";1981077031;"/Kategorien/Baby/Mädchen (0 -24 Monate)/Sweatshirts & -hosen/Sweathosen";1730708031;465001031;1806493031;2949306031
"de-apparel";1981078031;"/Kategorien/Baby/Mädchen (0 -24 Monate)/Sweatshirts & -hosen/Kapuzenpullover";1730709031;464998031;1806494031;2949307031
"de-apparel";1981079031;"/Kategorien/Baby/Mädchen (0 -24 Monate)/Sweatshirts & -hosen/Sweatanzüge";1730710031;465002031;1806495031;2949308031
"de-apparel";1981080031;"/Kategorien/Baby/Mädchen (0 -24 Monate)/Sweatshirts & -hosen/Sweatshirts";1730711031;464999031;1806496031;2949309031
"de-apparel";1981081031;"/Kategorien/Baby/Mädchen (0 -24 Monate)/Sweatshirts & -hosen/Sweatjacken";1730712031;465000031;1806497031;2949310031
"de-apparel";1981082031;"/Kategorien/Baby/Mädchen (0 -24 Monate)/Jeanshosen";1730713031;465003031;1806498031;1909398031
"de-apparel";1981083031;"/Kategorien/Baby/Mädchen (0 -24 Monate)/Pullover & Strickjacken";1730714031;464996031;1806499031;1909399031
"de-apparel";1981085031;"/Kategorien/Baby/Mädchen (0 -24 Monate)/Jacken, Mäntel & Westen/Jacken & Mäntel";1730716031;465012031;1806502031;1909402031
"de-apparel";1981086031;"/Kategorien/Baby/Mädchen (0 -24 Monate)/Jacken, Mäntel & Westen/Westen";1730717031;523904031;1806503031;1909403031
"de-apparel";1981088031;"/Kategorien/Baby/Mädchen (0 -24 Monate)/Overalls";1730719031;465004031;1806505031;1909405031
"de-apparel";1981089031;"/Kategorien/Baby/Mädchen (0 -24 Monate)/Shorts";1730720031;465006031;1806506031;1909406031
"de-apparel";1981090031;"/Kategorien/Baby/Mädchen (0 -24 Monate)/Röcke";1730721031;465007031;1806507031;1909407031
